metric,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_bonf,spearman_p_bonf,pearson_p_fdr,spearman_p_fdr,pearson_sig_bonf,spearman_sig_bonf,pearson_sig_fdr,spearman_sig_fdr,spearman_effect_bin
bugs_per_kloc,staleness_days,6180,0.004636340473854223,0.7155557867361592,-0.10657678588891259,4.4436193201754473e-17,1.0,2.3995544328947418e-15,0.858666944083391,5.998886082236854e-16,False,True,False,True,small
bugs_per_kloc,commits_last_12m,6180,-0.00653055962643516,0.6077496319041992,0.1330442786626576,8.313462651709479e-26,1.0,4.489269831923119e-24,0.858666944083391,2.2446349159615595e-24,False,True,False,True,small
bugs_per_kloc,repo_age_days,6180,0.02571930492486217,0.04319737705178613,-0.04371906826311,0.0005863859535170389,1.0,0.031664841489920104,0.17943525852280395,0.0011308871960685751,False,True,False,True,negligible
bugs_per_kloc,log_stars,6180,0.01181162102924099,0.3532046643904376,0.07111213998893857,2.189851375578379e-08,1.0,1.1825197428123247e-06,0.858666944083391,8.446569591516604e-08,False,True,False,True,negligible
bugs_per_kloc,log_forks,6180,0.005741028709381568,0.6518225102058857,0.06129932407705153,1.4178226787800978e-06,1.0,7.656242465412528e-05,0.858666944083391,4.029601297585541e-06,False,True,False,True,negligible
bugs_per_kloc,owner_is_org,6180,0.005203503847513909,0.6825521774045381,-0.007158334283947885,0.5736859492104828,1.0,1.0,0.858666944083391,0.595750793410886,False,False,False,False,negligible
code_smells_per_kloc,staleness_days,6180,0.004910928992219201,0.6995063144311401,0.08001704739429039,2.991706133850936e-10,1.0,1.6155213122795054e-08,0.858666944083391,1.4686557384359142e-09,False,True,False,True,negligible
code_smells_per_kloc,commits_last_12m,6180,-0.0024453529357889177,0.8475872122185866,-0.1008313213344568,1.937179665747843e-15,1.0,1.0460770195038352e-13,0.8704132622578211,2.0921540390076705e-14,False,True,False,True,small
code_smells_per_kloc,repo_age_days,6180,0.005139238841128611,0.6862628697318339,0.13685499825348882,3.179390600528966e-27,1.0,1.7168709242856417e-25,0.858666944083391,1.7168709242856417e-25,False,True,False,True,small
code_smells_per_kloc,log_stars,6180,-0.003458883775960418,0.7857304707599537,0.00977971564895167,0.4420860240565636,1.0,1.0,0.8675172866920993,0.49734677706363406,False,False,False,False,negligible
code_smells_per_kloc,log_forks,6180,-0.010855304558094005,0.3935371420545909,0.026811771933845863,0.03505645431714547,1.0,1.0,0.858666944083391,0.051163473868266356,False,False,False,False,negligible
code_smells_per_kloc,owner_is_org,6180,-0.008266609218296798,0.5158586334508817,0.008212344715211126,0.5186180227991595,1.0,1.0,0.858666944083391,0.5491249653167571,False,False,False,False,negligible
vulnerabilities_per_kloc,staleness_days,6180,0.023415289961600846,0.06567644193797283,-0.026918595265072842,0.03433577248299413,1.0,1.0,0.2216579915406583,0.051163473868266356,False,False,False,False,negligible
vulnerabilities_per_kloc,commits_last_12m,6180,-0.0023364929925935537,0.8542944981419356,0.034204583455478596,0.007163057389889822,1.0,0.3868050990540504,0.8704132622578211,0.011721366638001527,False,False,False,True,negligible
vulnerabilities_per_kloc,repo_age_days,6180,0.04969573340452495,9.292704486321499e-05,0.03390979534817856,0.007676486652894952,0.0050180604226136094,0.4145302792563274,0.0012545151056534024,0.011874942265740422,True,False,True,True,negligible
vulnerabilities_per_kloc,log_stars,6180,0.0024504876322565166,0.8472711119331156,0.013713714528771674,0.2810745842950421,1.0,1.0,0.8704132622578211,0.3449551716348244,False,False,False,False,negligible
