metric,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_bonf,spearman_p_bonf,pearson_p_fdr,spearman_p_fdr,pearson_sig_bonf,spearman_sig_bonf,pearson_sig_fdr,spearman_sig_fdr,spearman_effect_bin
bugs_per_kloc,staleness_days,6180,0.004636340473854225,0.7155557867361602,-0.10657678588891259,4.443619320175436e-17,1.0,2.3995544328947354e-15,0.8586669440833922,5.99888608223684e-16,False,True,False,True,small
bugs_per_kloc,commits_last_12m,6180,-0.006530559626435192,0.6077496319041973,0.1330442786626576,8.313462651709565e-26,1.0,4.489269831923165e-24,0.8586669440833922,2.2446349159615826e-24,False,True,False,True,small
bugs_per_kloc,repo_age_days,6180,0.025714947214153544,0.04323280503502231,-0.04372061326426011,0.0005861226793352761,1.0,0.03165062468410491,0.17958242091470808,0.0011303794530037469,False,True,False,True,negligible
bugs_per_kloc,log_stars,6180,0.011811621029240965,0.3532046643904378,0.07111213998893857,2.1898513755783818e-08,1.0,1.1825197428123261e-06,0.8586669440833922,8.446569591516616e-08,False,True,False,True,negligible
bugs_per_kloc,log_forks,6180,0.005741028709381623,0.651822510205886,0.06129932407705153,1.4178226787800935e-06,1.0,7.656242465412505e-05,0.8586669440833922,4.029601297585529e-06,False,True,False,True,negligible
bugs_per_kloc,owner_is_org,6180,0.005203503847513983,0.682552177404541,-0.007158334283947885,0.5736859492104829,1.0,1.0,0.8586669440833922,0.5957507934108861,False,False,False,False,negligible
code_smells_per_kloc,staleness_days,6180,0.004910928992219207,0.699506314431141,0.08001704739429039,2.991706133850939e-10,1.0,1.615521312279507e-08,0.8586669440833922,1.4686557384359156e-09,False,True,False,True,negligible
code_smells_per_kloc,commits_last_12m,6180,-0.002445352935788918,0.8475872122185886,-0.1008313213344568,1.9371796657478623e-15,1.0,1.0460770195038457e-13,0.8704132622578182,2.0921540390076913e-14,False,True,False,True,small
code_smells_per_kloc,repo_age_days,6180,0.0051372630836007144,0.6863770713780686,0.13685765756321214,3.1720532015526666e-27,1.0,1.71290872883844e-25,0.8586669440833922,1.71290872883844e-25,False,True,False,True,small
code_smells_per_kloc,log_stars,6180,-0.0034588837759604173,0.7857304707599548,0.00977971564895167,0.44208602405656355,1.0,1.0,0.8675172866920983,0.497346777063634,False,False,False,False,negligible
