metric,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_bonf,spearman_p_bonf,pearson_p_fdr,spearman_p_fdr,pearson_sig_bonf,spearman_sig_bonf,pearson_sig_fdr,spearman_sig_fdr,spearman_effect_bin
bugs_per_kloc,staleness_days,262,-0.14178520480240542,0.021697051396388233,-0.21054403201012617,0.0006031640455595347,1.0,0.032570858460214874,0.1464550969256206,0.005428476410035812,False,True,False,True,small
bugs_per_kloc,commits_last_12m,262,-0.009470885808964595,0.8787373067736366,0.31399444459015485,2.1030020119525355e-07,1.0,1.1356210864543692e-05,0.9504408630980316,5.678105432271846e-06,False,True,False,True,moderate
bugs_per_kloc,repo_age_days,262,-0.03236099089621278,0.6020600079844796,-0.005778276335200382,0.9258375128388547,1.0,1.0,0.8786821738151863,0.9821387655069075,False,False,False,False,negligible
bugs_per_kloc,log_stars,262,0.05544281668302195,0.37141976769300794,0.06025609562681424,0.3312746354638938,1.0,1.0,0.7714102867470165,0.5590259473453209,False,False,False,False,negligible
bugs_per_kloc,log_forks,262,-0.00798576909555275,0.8976385929259186,0.06295483598430525,0.31003530661436324,1.0,1.0,0.9504408630980316,0.5590259473453209,False,False,False,False,negligible
bugs_per_kloc,owner_is_org,262,0.16073562337640357,0.009153667218404663,0.06421716791175862,0.3004145595164434,0.4942980297938518,1.0,0.1438815309751548,0.5590259473453209,False,False,False,False,negligible
code_smells_per_kloc,staleness_days,262,-0.16729727025883626,0.006644616329185374,-0.15133792950162364,0.014204692878017917,0.3588092817760102,0.7670534154129675,0.1438815309751548,0.06392111795108063,False,False,False,False,small
code_smells_per_kloc,commits_last_12m,262,0.017979190774445476,0.7720836008270359,0.2676794291337519,1.1206911419464235e-05,1.0,0.0006051732166510687,0.9504408630980316,0.00020172440555035626,False,True,False,True,small
code_smells_per_kloc,repo_age_days,262,-0.08204413686305123,0.1855417451163248,-0.10810230120066998,0.08071651958953027,1.0,1.0,0.5273291703306073,0.290579470522309,False,False,False,False,small
code_smells_per_kloc,log_stars,262,0.08588827951770568,0.1657045991772359,-0.002697408660807453,0.9653406803944805,1.0,1.0,0.5228483906987016,0.9821387655069075,False,False,False,False,negligible
code_smells_per_kloc,log_forks,262,0.010438090264955872,0.8664637232449844,-0.03939345642493944,0.5255351162069094,1.0,1.0,0.9504408630980316,0.805073145560529,False,False,False,False,negligible
code_smells_per_kloc,owner_is_org,262,0.14371368526142494,0.019955703822804313,0.07863432693268761,0.20455264780668345,1.0,1.0,0.1464550969256206,0.46024345756503776,False,False,False,False,negligible
vulnerabilities_per_kloc,staleness_days,262,-0.014190382242443844,0.8191762141006065,-0.07504436269618789,0.22604919934636347,1.0,1.0,0.9504408630980316,0.46948679864244725,False,False,False,False,negligible
vulnerabilities_per_kloc,commits_last_12m,262,-0.029432716687126336,0.6353323755222678,0.05610439662991751,0.36573063719572263,1.0,1.0,0.9028407441632227,0.5984683154111824,False,False,False,False,negligible
vulnerabilities_per_kloc,repo_age_days,262,-0.03802534183038162,0.5400267031311091,-0.06053080716943982,0.3290708347754883,1.0,1.0,0.8552497283036808,0.5590259473453209,False,False,False,False,negligible
vulnerabilities_per_kloc,log_stars,262,-0.03789708989137462,0.5413953179028842,0.07951805635214967,0.19949544512074807,1.0,1.0,0.8552497283036808,0.46024345756503776,False,False,False,False,negligible
vulnerabilities_per_kloc,log_forks,262,0.0028201691118133095,0.9637643721202044,0.08595865043757199,0.1653568614888447,1.0,1.0,0.9819486055564346,0.4254882575277927,False,False,False,False,negligible
vulnerabilities_per_kloc,owner_is_org,262,0.009696667413249241,0.875869489364257,-0.19313437275466658,0.0016847047873769269,1.0,0.09097405851835405,0.9504408630980316,0.01299629407405058,False,False,False,True,small
