repo_url,owner,repo,bugs,code_smells,vulnerabilities,security_hotspots,vuln_blocker,vuln_critical,vuln_major,vuln_minor,vuln_info,ncloc,files,functions
https://github.com/ccmjga/mjga-scaffold,ccmjga,mjga-scaffold,79,1860,0,8,0,314,1491,134,0,3670,57,187
https://github.com/jaredlll08/MultiLoader-Template,jaredlll08,multiloader-template,90,1813,0,1,0,291,1541,71,0,809,17,28
https://github.com/CodelyTV/java-ddd-example,codelytv,java-ddd-example,23,236,0,9,0,16,125,118,0,6481,280,780
https://github.com/microsoft/vscode-remote-try-java,microsoft,vscode-remote-try-java,0,2,0,0,0,1,1,0,0,56,3,4
https://github.com/apache/incubator-kie-optaplanner-quickstarts,apache,incubator-kie-optaplanner-quickstarts,67,664,0,69,1,311,192,212,15,28084,362,2164
https://github.com/wiverson/htmx-demo,wiverson,htmx-demo,7,80,1,11,1,14,44,27,2,3180,65,159
https://github.com/VlSomers/native-opencv-android-template,vlsomers,native-opencv-android-template,79,1752,0,3,0,285,1479,67,0,856,17,10
https://github.com/Osiris-Team/1JPM,osiris-team,1jpm,3,205,2,9,2,29,55,124,0,1600,6,110
https://github.com/Anuken/MindustryJavaModTemplate,anuken,mindustryjavamodtemplate,0,1,0,0,0,0,0,1,0,27,1,2
https://github.com/nea89o/Forge1.8.9Template,nea89o,forge1.8.9template,0,20,0,1,0,4,16,0,0,154,6,16
https://github.com/SilverNine/spring-boot-jwt-tutorial,silvernine,spring-boot-jwt-tutorial,0,2,0,0,0,1,1,0,0,744,28,54
https://github.com/ericus20/spring-boot-starter,ericus20,spring-boot-starter,166,2332,1,6,8,344,1978,169,0,61284,513,794
https://github.com/dipjyotimetia/HybridTestFramework,dipjyotimetia,hybridtestframework,130,2591,8,24,12,376,1752,586,3,25784,153,2789
https://github.com/CleanroomMC/ForgeDevEnv,cleanroommc,forgedevenv,66,1851,0,1,0,264,1575,78,0,558,2,1
https://github.com/chtrembl/azure-cloud,chtrembl,azure-cloud,121,574,14,48,6,49,469,182,3,49229,362,1420
https://github.com/jaguililla/hexagonal_spring,jaguililla,hexagonal_spring,1,37,0,2,0,4,15,18,1,5563,76,388
https://github.com/allure-examples/testng-java-maven,allure-examples,testng-java-maven,0,2,0,0,0,1,0,1,0,114,2,4
https://github.com/LarryDpk/pkslow-samples,larrydpk,pkslow-samples,39,999,66,44,40,40,512,494,18,27633,526,1266
https://github.com/709343767/phoenix,709343767,phoenix,188,3137,1,48,2,1488,1389,439,8,88666,1283,2455
https://github.com/JavaFX-Starter/JavaFX-Package-Sample,javafx-starter,javafx-package-sample,0,3,0,0,0,0,2,1,0,408,7,12
https://github.com/hmcts/spring-boot-template,hmcts,spring-boot-template,90,1804,0,3,0,291,1533,70,0,791,18,10
https://github.com/runelite/example-plugin,runelite,example-plugin,0,0,0,0,0,0,0,0,0,99,4,6
https://github.com/embabel/java-agent-template,embabel,java-agent-template,0,6,0,0,0,0,4,2,0,304,8,13
https://github.com/ddxy/whispercat,ddxy,whispercat,15,177,0,1,0,72,25,91,4,5084,41,299
https://github.com/joinfaces/joinfaces-maven-jar-example,joinfaces,joinfaces-maven-jar-example,4,526,0,0,0,31,210,289,0,8852,230,801
https://github.com/sVoxelDev/spigot-plugin-template,svoxeldev,spigot-plugin-template,0,121,0,0,3,70,19,29,0,3482,44,92
https://github.com/NeoForgeMDKs/MDK-1.21-ModDevGradle,neoforgemdks,mdk-1.21-moddevgradle,132,3707,0,2,0,528,3152,159,0,1203,4,6
https://github.com/hantsy/jakartaee9-starter-boilerplate,hantsy,jakartaee9-starter-boilerplate,0,39,0,1,0,0,34,4,1,2192,26,14
https://github.com/amuthansakthivel/TheOneFramework,amuthansakthivel,theoneframework,0,6,0,0,0,2,3,1,0,1274,50,86
https://github.com/dipjyotimetia/MobileTestFramework,dipjyotimetia,mobiletestframework,11,222,0,15,5,56,63,109,0,2308,35,201
https://github.com/JPro-one/HelloJPro,jpro-one,hellojpro,91,1804,0,2,0,291,1535,69,0,686,7,7
https://github.com/anatawa12/ForgeGradle-example,anatawa12,forgegradle-example,0,1,0,0,0,0,1,0,0,16,1,1
https://github.com/serenity-bdd/serenity-junit-starter,serenity-bdd,serenity-junit-starter,0,6,0,0,0,1,4,1,0,322,12,11
https://github.com/CodelyTV/java-basic-skeleton,codelytv,java-basic-skeleton,0,2,0,0,0,0,0,2,0,24,2,3
https://github.com/allure-examples/junit4-java-maven,allure-examples,junit4-java-maven,0,2,0,0,0,1,0,1,0,127,2,4
https://github.com/CrimsonWarpedcraft/plugin-template,crimsonwarpedcraft,plugin-template,90,1807,0,1,0,292,1534,71,0,1011,4,2
