repo_url,owner,repo,bugs,code_smells,vulnerabilities,security_hotspots,vuln_blocker,vuln_critical,vuln_major,vuln_minor,vuln_info,ncloc,files,functions
https://github.com/thehaseebahmed/aspnetcore-clean-architecture,thehaseebahmed,aspnetcore-clean-architecture,0,46,0,2,0,4,19,11,12,1013,49,118
https://github.com/KvalitetsIT/kitnugs,kvalitetsit,kitnugs,0,4,4,3,4,0,4,0,0,29,5,0
https://github.com/chrdek/linqpath_prerel,chrdek,linqpath_prerel,0,4,0,0,0,1,0,3,0,101,2,4
https://github.com/RomanYatskovyna/ApiBestPracticesExample,romanyatskovyna,apibestpracticesexample,0,12,1,5,1,0,2,5,5,1076,35,112
https://github.com/cr-zhichen/FlashDotNet,cr-zhichen,flashdotnet,0,162,3,21,3,3,67,36,56,3222,79,316
https://github.com/PDMLab/aspnet-core-htmx-vsa-template,pdmlab,aspnet-core-htmx-vsa-template,0,4,0,2,1,0,2,1,0,191,16,7
https://github.com/AXECAC/Template-Back-End-C-Sharp,axecac,template-back-end-c-sharp,0,57,0,3,0,4,41,6,6,1199,30,114
https://github.com/DEFRA/cdp-dotnet-backend-template,defra,cdp-dotnet-backend-template,0,1,0,3,0,0,0,1,0,445,14,44
https://github.com/IzanamiiDevv/ASP.NET-Core-Web-API,izanamiidevv,asp.net-core-web-api,0,8,0,1,0,1,6,1,0,84,4,16
https://github.com/colinkiama/uwp-fast-track-template,colinkiama,uwp-fast-track-template,0,3,0,0,0,0,2,1,0,174,8,22
https://github.com/YaraGh22-engs/ASP-.NET-Core-8-API-CRUD-Movies-Example,yaragh22-engs,asp-.net-core-8-api-crud-movies-example,0,40,1,2,1,1,27,12,0,872,26,112
https://github.com/IHCantabria/template.net8.api,ihcantabria,template.net8.api,0,237,0,2,0,1,125,3,108,8536,193,1034
https://github.com/kolosovpetro/DotnetTemplate,kolosovpetro,dotnettemplate,0,2,0,0,0,0,0,2,0,19,2,2
https://github.com/shanibpatel/DotNetCoreWebAPI-Boilerplate,shanibpatel,dotnetcorewebapi-boilerplate,0,70,0,1,0,7,53,10,0,888,22,126
https://github.com/tomasz-herman/OpenTK-ImGui-Template,tomasz-herman,opentk-imgui-template,2,60,0,2,0,0,23,23,16,2562,25,491
https://github.com/sawabond/GenericWebApi,sawabond,genericwebapi,0,112,0,1,0,2,70,21,19,1333,51,101
https://github.com/hansadrianus/RepositoryPattern,hansadrianus,repositorypattern,0,209,0,5,1,5,158,28,17,3973,112,510
https://github.com/DREDGE-Mods/WinchModTemplate,dredge-mods,winchmodtemplate,0,2,0,0,0,0,1,1,0,25,2,2
https://github.com/ajaykumar3531/HealthHub_WebAPI_Using_Asp.Net_Core,ajaykumar3531,healthhub_webapi_using_asp.net_core,1,208,2,3,4,6,164,16,21,2102,45,418
https://github.com/mouraleonardo/GameEngineFoundations,mouraleonardo,gameenginefoundations,0,4,0,0,0,0,2,1,1,182,2,8
https://github.com/Penzle/Penzle.Net,penzle,penzle.net,5,39,0,2,2,1,27,13,1,2833,106,598
https://github.com/stphnwlsh/CleanWebApi,stphnwlsh,cleanwebapi,0,24,0,2,0,4,11,9,0,1215,66,173
https://github.com/PepperDash/EssentialsPluginTemplate,pepperdash,essentialsplugintemplate,0,46,0,0,0,3,2,9,32,394,8,45
https://github.com/microsoft/franceconnect-data-provider-dotnet-webapi-aspnetcore,microsoft,franceconnect-data-provider-dotnet-webapi-aspnetcore,1,14,0,2,0,2,10,1,2,881,33,92
