repo_url,owner,repo,bugs,code_smells,vulnerabilities,security_hotspots,vuln_blocker,vuln_critical,vuln_major,vuln_minor,vuln_info,ncloc,files,functions
https://github.com/e2e-boilerplate/playwright-commonjs-jasmine-expect,e2e-boilerplate,playwright-commonjs-jasmine-expect,0,0,0,0,0,0,0,0,0,27,1,6
https://github.com/arunkumar413/webpack-react-express-template,arunkumar413,webpack-react-express-template,0,27,0,4,0,2,7,18,0,757,25,52
https://github.com/adapttive/strapi-template-blog,adapttive,strapi-template-blog,0,15,0,0,0,3,2,10,0,584,53,14
https://github.com/GaelHF/Helix-Launcher,gaelhf,helix-launcher,66,252,0,7,30,24,124,131,9,7695,21,473
https://github.com/petr-nazarov/bunorepo,petr-nazarov,bunorepo,0,0,0,0,0,0,0,0,0,70,9,17
https://github.com/HAlGhanim/Express-Template-FS,halghanim,express-template-fs,0,11,0,4,0,0,1,10,0,303,15,21
https://github.com/naveen-kumawat/CollegeProject,naveen-kumawat,collegeproject,4,57,2,3,2,13,32,16,0,32690,41,64
https://github.com/Dongjie-Cheng/Dongjie-Cheng.github.io,dongjie-cheng,dongjie-chenghub.io,15,258,0,9,3,118,73,69,10,7212,112,160
https://github.com/Jahan-Shah/nuxt3-gsap-lenis-tailwindcss-starter,jahan-shah,nuxt3-gsap-lenis-tailwindcss-starter,0,1,0,0,0,0,1,0,0,54,6,4
https://github.com/gh-devsecops/fundamentals,gh-devsecops,fundamentals,1,8,0,2,0,1,3,5,0,130,9,4
https://github.com/mayank99/11ty-webc-starter,mayank99,11ty-webc-starter,0,0,0,0,0,0,0,0,0,11,1,0
https://github.com/aminenony/asaki,aminenony,asaki,0,25,0,5,0,1,16,5,3,702,2,51
https://github.com/navidadkhah/navidadkhah.github.io,navidadkhah,navidadkhahhub.io,13,214,0,7,3,112,43,60,9,6658,100,146
https://github.com/a6h15hek/ern-boilerplate,a6h15hek,ern-boilerplate,1,29,0,6,0,11,8,11,0,694,16,49
https://github.com/xobby/tinydubs,xobby,tinydubs,1,3,0,2,0,0,2,2,0,171,4,3
https://github.com/dilshankarunarathne/react-auth-template,dilshankarunarathne,react-auth-template,0,11,0,0,0,1,6,3,1,457,9,29
https://github.com/pratyush0898/threejs-portfolio,pratyush0898,threejs-portfolio,2,463,0,0,0,1,459,5,0,2446,29,62
https://github.com/szilvesztercsab/eleventy-netlify-boilerplate,szilvesztercsab,eleventy-netlify-boilerplate,1,12,0,2,0,2,3,8,0,176,8,13
https://github.com/odevthomas/api_social_media,odevthomas,api_social_media,1,5,1,1,1,0,2,4,0,227,9,11
https://github.com/FlipArtYT/express-sqlite3-template,flipartyt,express-sqlite3-template,0,7,0,2,0,0,1,6,0,188,4,12
https://github.com/Buninman/vanilla-threejs-template,buninman,vanilla-threejs-template,0,47,0,0,0,5,16,26,0,1265,22,107
https://github.com/Nitishroy-7033/Project-Kart,nitishroy-7033,project-kart,7,107,0,0,0,0,67,47,0,2032,48,76
https://github.com/Muhsinkhan5/Portfolio,muhsinkhan5,portfolio,8,32,0,8,0,7,23,10,0,2541,48,59
https://github.com/biruk1122/Ecommerce,biruk1122,ecommerce,2,129,0,0,0,64,17,50,0,1394,67,92
https://github.com/imjuni/typescript-cli-boilerplate,imjuni,typescript-cli-boilerplate,0,3,0,0,0,0,2,1,0,303,6,5
https://github.com/arnobt78/Marketing--React-Frontend,arnobt78,marketing--react-frontend,0,10,0,3,0,0,3,7,0,678,17,15
https://github.com/shriyashsoni/AI-x-DeFi--DeFAI--Track,shriyashsoni,ai-x-defi--defai--track,7,18,4,3,0,7,16,6,0,4990,43,190
https://github.com/ritog/books,ritog,books,1,20,0,0,0,1,10,10,0,1014,3,42
https://github.com/robin-ivi/robin-ivi.github.io,robin-ivi,robin-ivihub.io,322,184,0,0,6,43,396,61,0,29037,49,81
https://github.com/Tuanluck/MenVibe,tuanluck,menvibe,13,96,4,1,4,0,67,42,0,6085,40,222
https://github.com/NTX-XT/ntx-form-plugin-starter,ntx-xt,ntx-form-plugin-starter,0,13,0,1,0,0,2,11,0,261,7,23
https://github.com/sokotohisbahboard-maker/SSHB-PLATFORM-,sokotohisbahboard-maker,sshb-platform-,0,0,0,0,0,0,0,0,0,0,4,0
https://github.com/dalevross/recommendations,dalevross,recommendations,0,6,0,0,0,0,2,4,0,200,5,12
https://github.com/Descodia/Descodia,descodia,descodia,1,19,0,4,4,0,10,6,0,256,6,6
https://github.com/FlippieCoetser/typescript.template,flippiecoetser,typescript.template,2,54,0,4,0,2,12,42,0,1777,28,86
https://github.com/arnobt78/Modern-Iphone-3D-Landing-UI-React-Frontend,arnobt78,modern-iphone-3d-landing-ui-react-frontend,5,231,0,0,1,25,172,38,0,1373,22,63
https://github.com/YunfeiXing531/YunfeiXing531.github.io,yunfeixing531,yunfeixing531hub.io,13,55,0,9,3,9,30,18,8,5249,99,19
https://github.com/confluenza/confluenza,confluenza,confluenza,11,380,0,5,0,0,335,56,0,4942,147,346
https://github.com/decadevs/mini-challenges-2,decadevs,mini-challenges-2,0,3,0,0,0,3,0,0,0,282,7,27
https://github.com/ncqwer/mono-exmaple-ui,ncqwer,mono-exmaple-ui,3,40,0,2,0,3,24,16,0,749,21,49
https://github.com/ngblaylock/eleventy-figma-plugin-template,ngblaylock,eleventy-figma-plugin-template,0,1,0,0,0,0,0,1,0,35,4,3
https://github.com/luiscelano/react-app-starter-kit,luiscelano,react-app-starter-kit,0,7,0,0,0,1,4,2,0,499,33,51
https://github.com/geekelo/hello-react-front-end,geekelo,hello-react-front-end,0,1,0,0,0,0,0,1,0,120,8,4
https://github.com/emapeire/discord-bot,emapeire,discord-bot,0,2,0,0,0,1,1,0,0,153,8,13
https://github.com/thenickygee/nickygee.com,thenickygee,nickygee.com,0,15,0,0,0,0,12,3,0,692,14,28
https://github.com/kurtosis-tech/mern-package,kurtosis-tech,mern-package,1,33,0,8,0,0,27,7,0,731,25,59
https://github.com/0xBenjamintan/SolanaBoilerplate,0xbenjamintan,solanaboilerplate,0,4,0,0,0,0,3,1,0,161,9,9
https://github.com/andreagaspari/imm-gutenberg-boilerplate,andreagaspari,imm-gutenberg-boilerplate,0,2,0,0,0,0,0,2,0,41,2,4
https://github.com/Bestmart721/portfolio-2022,bestmart721,portfolio-2022,4,137,0,0,0,2,105,34,0,1909,43,84
https://github.com/AnWhiteM/project-6_Back_End,anwhitem,project-6_back_end,2,6,0,4,0,1,5,2,0,950,52,54
https://github.com/ashmanmalik/BasiqPFM,ashmanmalik,basiqpfm,32,375,0,6,0,2,306,98,1,6943,106,390
https://github.com/ThomasN12/habittracker,thomasn12,habittracker,122,371,0,0,0,1,427,65,0,5075,45,126
https://github.com/joeljamestech1/JOEL-MD,joeljamestech1,joel-md,22,427,2,15,6,38,162,245,0,5755,101,319
https://github.com/3XisTe/voicemsgtotext,3xiste,voicemsgtotext,2,4,0,5,0,0,4,2,0,295,12,18
https://github.com/WildCodeSchool/js-poo-heracles-labour-4-part-2,wildcodeschool,js-poo-heracles-labour-4-part-2,0,12,0,1,0,0,3,9,0,639,10,39
https://github.com/Kauangithub/Hackathon,kauangithub,hackathon,4,193,0,2,0,3,142,52,0,1538,28,42
