id,username,project_name,original_link_repository,stars,forks,created_at,updated_at,language
228060563,yunojuno,poetry-template,https://github.com/yunojuno/poetry-template,30,7,2019-12-14T17:20:59Z,2024-11-27T22:24:15Z,Python
491578092,BrianPugh,python-template,https://github.com/BrianPugh/python-template,298,17,2022-05-12T15:52:36Z,2025-08-10T16:31:05Z,Python
403570445,ma7dev,cookiecutter-pytorch-lightning,https://github.com/ma7dev/cookiecutter-pytorch-lightning,11,1,2021-09-06T09:56:48Z,2025-08-11T03:39:59Z,Python
124968184,victoresque,pytorch-template,https://github.com/victoresque/pytorch-template,4997,1102,2018-03-13T00:21:14Z,2025-08-10T13:13:30Z,Python
257447069,soggycactus,airflow-repo-template,https://github.com/soggycactus/airflow-repo-template,257,40,2020-04-21T01:19:58Z,2025-07-29T03:19:37Z,Python
291450945,Erlemar,pytorch_tempest,https://github.com/Erlemar/pytorch_tempest,221,22,2020-08-30T10:46:59Z,2025-08-07T07:00:26Z,Python
563757733,febus982,bootstrap-python-fastapi,https://github.com/febus982/bootstrap-python-fastapi,52,4,2022-11-09T09:17:19Z,2025-08-03T07:25:51Z,Python
696674124,airtai,faststream-template,https://github.com/airtai/faststream-template,10,2,2023-09-26T08:10:46Z,2025-05-19T18:14:03Z,Python
624721291,fastapi-practices,fastapi_best_architecture,https://github.com/fastapi-practices/fastapi_best_architecture,1191,207,2023-04-07T05:21:11Z,2025-08-11T02:12:23Z,Python
226844397,jacobtomlinson,python-container-action,https://github.com/jacobtomlinson/python-container-action,96,37,2019-12-09T10:25:35Z,2025-07-17T05:01:27Z,Python
872646593,langchain-ai,rag-research-agent-template,https://github.com/langchain-ai/rag-research-agent-template,241,59,2024-10-14T20:06:54Z,2025-08-10T17:53:44Z,Python
467611307,leveorxyz,django-rest-framework-template,https://github.com/leveorxyz/django-rest-framework-template,3,0,2022-03-08T17:28:12Z,2025-07-14T23:17:23Z,Python
835829468,cdragos,fastapi-hatch-template,https://github.com/cdragos/fastapi-hatch-template,21,0,2024-07-30T15:59:04Z,2025-06-25T04:06:22Z,Python
319008872,pratikdaigavane,django-rest-starter,https://github.com/pratikdaigavane/django-rest-starter,4,0,2020-12-06T10:43:55Z,2023-03-04T09:21:15Z,Python
345877203,DevilExileSu,pytorch-template,https://github.com/DevilExileSu/pytorch-template,22,10,2021-03-09T04:00:01Z,2025-06-25T07:25:52Z,Python
614360627,github,copilot-codespaces-demo,https://github.com/github/copilot-codespaces-demo,76,38,2023-03-15T12:38:24Z,2025-07-19T00:35:35Z,Python
742379611,replicate,cog-comfyui,https://github.com/replicate/cog-comfyui,719,192,2024-01-12T10:47:54Z,2025-08-10T16:30:51Z,Python
618205348,microsoft,dstoolkit-devcontainers,https://github.com/microsoft/dstoolkit-devcontainers,38,8,2023-03-24T01:02:08Z,2025-08-09T07:21:23Z,Python
423450844,justb4,fastapi-users-starter,https://github.com/justb4/fastapi-users-starter,8,4,2021-11-01T12:07:11Z,2025-07-20T08:10:50Z,Python
699016965,nessshon,aiogram-starlette-template,https://github.com/nessshon/aiogram-starlette-template,35,2,2023-10-01T17:15:21Z,2025-06-02T18:35:34Z,Python
228135133,kiccho1101,datascience-template,https://github.com/kiccho1101/datascience-template,10,2,2019-12-15T05:46:19Z,2025-02-19T18:43:00Z,Python
907120444,max31ru12,FastAPI-Template,https://github.com/max31ru12/FastAPI-Template,17,4,2024-12-22T21:32:54Z,2025-07-26T21:53:25Z,Python
899128899,AmineDjeghri,generative-ai-project-template,https://github.com/AmineDjeghri/generative-ai-project-template,102,11,2024-12-05T17:11:09Z,2025-08-05T07:14:31Z,Python
207495615,Vivify-Ideas,python-django-drf-boilerplate,https://github.com/Vivify-Ideas/python-django-drf-boilerplate,173,46,2019-09-10T07:42:55Z,2025-08-07T09:28:57Z,Python
207786768,thoth-station,template-project,https://github.com/thoth-station/template-project,8,9,2019-09-11T10:38:25Z,2025-05-08T07:26:43Z,Python
198640478,scivision,hugo-flex-example,https://github.com/scivision/hugo-flex-example,4,8,2019-07-24T13:25:06Z,2025-05-20T22:57:22Z,Python
408249394,rafsaf,minimal-fastapi-postgres-template,https://github.com/rafsaf/minimal-fastapi-postgres-template,532,78,2021-09-19T22:19:22Z,2025-07-29T06:35:51Z,Python
578688096,deepset-ai,haystack-search-pipeline-streamlit,https://github.com/deepset-ai/haystack-search-pipeline-streamlit,27,10,2022-12-15T16:39:50Z,2025-02-16T13:24:33Z,Python
333760847,benchopt,template_benchmark,https://github.com/benchopt/template_benchmark,26,20,2021-01-28T13:03:35Z,2025-03-03T13:39:09Z,Python
269163085,marcelovicentegc,django-react-typescript,https://github.com/marcelovicentegc/django-react-typescript,382,68,2020-06-03T18:21:42Z,2025-08-01T17:42:51Z,Python
496613957,Atforestry,boilerplate,https://github.com/Atforestry/boilerplate,3,1,2022-05-26T12:35:22Z,2022-08-11T19:49:59Z,Python
354228047,KiraPC,fastapi-mvc-boilerplate,https://github.com/KiraPC/fastapi-mvc-boilerplate,27,5,2021-04-03T07:25:50Z,2025-08-02T17:26:03Z,Python
314322505,lodu,FastAPI-Boilerplate,https://github.com/lodu/FastAPI-Boilerplate,4,2,2020-11-19T17:32:53Z,2023-09-27T11:26:09Z,Python
500074427,Scitator,exp,https://github.com/Scitator/exp,4,2,2022-06-05T11:10:49Z,2022-06-13T17:28:29Z,Python
337555250,annedorko,highlight,https://github.com/annedorko/highlight,25,0,2021-02-09T22:37:01Z,2024-11-05T10:48:34Z,Python
384377513,neuefische,ds-simple-plotly-dash-template,https://github.com/neuefische/ds-simple-plotly-dash-template,19,27,2021-07-09T08:48:55Z,2023-11-11T08:23:56Z,Python
589261862,Johnserf-Seed,f2,https://github.com/Johnserf-Seed/f2,1090,206,2023-01-15T16:00:01Z,2025-08-10T17:41:14Z,Python
1014831714,louisbrulenaudet,hackathon-backend,https://github.com/louisbrulenaudet/hackathon-backend,5,0,2025-07-06T13:57:58Z,2025-07-23T08:28:53Z,Python
637652637,bybatkhuu,model.python-template,https://github.com/bybatkhuu/model.python-template,3,3,2023-05-08T06:05:57Z,2025-08-06T01:12:33Z,Python
341332717,DevSkillsHQ,fullstack-boilerplate-django-react,https://github.com/DevSkillsHQ/fullstack-boilerplate-django-react,2,6,2021-02-22T20:46:39Z,2025-08-07T23:53:06Z,Python
110400551,thombashi,python-lib-project-template,https://github.com/thombashi/python-lib-project-template,6,2,2017-11-12T03:10:34Z,2025-01-05T14:46:03Z,Python
561889790,developmentseed,stactools-pipelines,https://github.com/developmentseed/stactools-pipelines,8,4,2022-11-04T18:16:12Z,2025-08-01T17:45:27Z,Python
286613754,athackst,vscode_ros2_workspace,https://github.com/athackst/vscode_ros2_workspace,934,187,2020-08-11T01:15:04Z,2025-08-08T03:33:20Z,Python
655958224,emmanuelubachi,data-analysis-project-starter,https://github.com/emmanuelubachi/data-analysis-project-starter,4,0,2023-06-20T01:34:01Z,2025-07-17T03:49:10Z,Python
191583840,latex4ei,CheatsheetTemplate,https://github.com/latex4ei/CheatsheetTemplate,7,1,2019-06-12T14:09:25Z,2025-07-07T10:25:35Z,Python
1005322967,dataprofessor,top-navigation,https://github.com/dataprofessor/top-navigation,3,3,2025-06-20T03:48:13Z,2025-07-31T07:51:06Z,Python
595674384,Alex-Lekov,yolov8-fastapi,https://github.com/Alex-Lekov/yolov8-fastapi,113,42,2023-01-31T15:24:23Z,2025-08-01T00:33:49Z,Python
541198358,simonw,action-transcription,https://github.com/simonw/action-transcription,183,27,2022-09-25T14:28:23Z,2025-08-05T08:56:12Z,Python
463498466,abindent,Python-Utility-Bot,https://github.com/abindent/Python-Utility-Bot,18,5,2022-02-25T10:55:41Z,2025-05-15T06:24:17Z,Python
1001916966,discus0434,python-template-for-claude-code,https://github.com/discus0434/python-template-for-claude-code,131,11,2025-06-14T10:11:16Z,2025-08-07T20:56:22Z,Python
373417032,City-of-Helsinki,mlops-template,https://github.com/City-of-Helsinki/mlops-template,26,9,2021-06-03T07:20:38Z,2025-07-19T15:01:09Z,Python
190576805,MrXJC,pytorch-bert-template,https://github.com/MrXJC/pytorch-bert-template,9,2,2019-06-06T12:23:26Z,2024-02-13T16:10:16Z,Python
597747648,philipokiokio,FastAPI_SAAS_Template,https://github.com/philipokiokio/FastAPI_SAAS_Template,176,28,2023-02-05T14:23:43Z,2025-07-28T20:54:53Z,Python
305461618,she-code-africa,python-ta,https://github.com/she-code-africa/python-ta,10,101,2020-10-19T17:26:22Z,2025-07-11T12:44:15Z,Python
142068893,alesanmed,python-telegram-bot-seed,https://github.com/alesanmed/python-telegram-bot-seed,40,7,2018-07-23T21:00:31Z,2025-03-30T23:14:46Z,Python
308592630,ohld,django-telegram-bot,https://github.com/ohld/django-telegram-bot,721,170,2020-10-30T10:10:04Z,2025-08-09T17:09:01Z,Python
373428617,navanchauhan,SaaS-in-a-Flask,https://github.com/navanchauhan/SaaS-in-a-Flask,9,0,2021-06-03T08:04:16Z,2024-09-03T07:24:26Z,Python
512447063,dataprofessor,st-app,https://github.com/dataprofessor/st-app,6,19,2022-07-10T13:49:44Z,2025-02-24T09:49:10Z,Python
211667969,yiskw713,pytorch_template,https://github.com/yiskw713/pytorch_template,27,2,2019-09-29T13:34:08Z,2025-07-17T23:28:57Z,Python
763580056,streamlit,ML-Model-Builder,https://github.com/streamlit/ML-Model-Builder,4,37,2024-02-26T15:02:36Z,2025-04-04T04:42:16Z,Python
512033462,syedfaisalsaleeem,FastApi-Strawberry-GraphQL-SqlAlchemy-BoilerPlate,https://github.com/syedfaisalsaleeem/FastApi-Strawberry-GraphQL-SqlAlchemy-BoilerPlate,147,26,2022-07-08T21:44:58Z,2025-08-05T12:54:02Z,Python
594311403,GeekBoySachin,python-project-template,https://github.com/GeekBoySachin/python-project-template,2,0,2023-01-28T06:13:22Z,2023-01-31T14:53:22Z,Python
585608448,zhanymkanov,fastapi_production_template,https://github.com/zhanymkanov/fastapi_production_template,1175,162,2023-01-05T15:54:14Z,2025-08-06T19:49:43Z,Python
175660119,jetbridge,sls-flask,https://github.com/jetbridge/sls-flask,96,7,2019-03-14T16:31:38Z,2025-06-24T04:55:43Z,Python
128262638,Cloud-CV,EvalAI-Starters,https://github.com/Cloud-CV/EvalAI-Starters,84,180,2018-04-05T20:48:42Z,2025-07-23T19:36:09Z,Python
809357917,4GeeksAcademy,CodeAaron-instagram,https://github.com/4GeeksAcademy/CodeAaron-instagram,2,2,2024-06-02T13:18:58Z,2025-04-04T02:29:40Z,Python
387447794,bitswired,perfect-python-starter,https://github.com/bitswired/perfect-python-starter,3,1,2021-07-19T11:57:18Z,2024-07-04T06:17:46Z,Python
338735311,SignTools,SignTools-CI,https://github.com/SignTools/SignTools-CI,215,136,2021-02-14T05:21:21Z,2025-07-25T00:20:57Z,Python
296350862,vivarium-collective,vivarium-template,https://github.com/vivarium-collective/vivarium-template,3,0,2020-09-17T14:27:16Z,2024-04-16T14:03:01Z,Python
167007082,City-Bureau,city-scrapers-template,https://github.com/City-Bureau/city-scrapers-template,36,95,2019-01-22T14:21:51Z,2025-08-02T16:22:30Z,Python
435377678,banesullivan,remotetileserver,https://github.com/banesullivan/remotetileserver,8,1,2021-12-06T05:58:21Z,2025-01-20T18:24:42Z,Python
939058831,z0u,mi-ni,https://github.com/z0u/mi-ni,8,0,2025-02-25T23:29:58Z,2025-06-24T08:40:00Z,Python
352854477,GoogleCloudPlatform,cloud-run-microservice-template-python,https://github.com/GoogleCloudPlatform/cloud-run-microservice-template-python,101,61,2021-03-30T03:08:07Z,2025-07-29T17:21:37Z,Python
208542712,akashp1712,summarize-webpage,https://github.com/akashp1712/summarize-webpage,55,13,2019-09-15T04:40:04Z,2024-08-21T00:19:31Z,Python
915803766,Scrapybara,scrapybara-python-template,https://github.com/Scrapybara/scrapybara-python-template,7,5,2025-01-12T20:55:06Z,2025-07-14T19:25:10Z,Python
292957556,Youngestdev,fastapi-mongo,https://github.com/Youngestdev/fastapi-mongo,533,107,2020-09-04T22:22:14Z,2025-08-06T14:34:27Z,Python
543762225,morganpartee,aws-sam-fastapi-mangum-template,https://github.com/morganpartee/aws-sam-fastapi-mangum-template,16,3,2022-09-30T19:38:50Z,2025-04-26T03:48:33Z,Python
479025294,gpauloski,python-template,https://github.com/gpauloski/python-template,16,2,2022-04-07T14:41:16Z,2025-08-05T07:06:30Z,Python
192571144,teamdigitale,api-starter-kit-python,https://github.com/teamdigitale/api-starter-kit-python,3,4,2019-06-18T15:52:49Z,2022-02-18T14:20:52Z,Python
