id,username,project_name,original_link_repository,stars,forks,created_at,updated_at,language
479627065,Alchyr,BasicMod,https://github.com/Alchyr/BasicMod,94,30,2022-04-09T05:23:33Z,2025-07-24T06:40:23Z,Java
185679354,typetools,templatefora-checker,https://github.com/typetools/templatefora-checker,3,7,2019-05-08T21:05:39Z,2025-07-05T00:55:56Z,Java
238710116,template-repository,springboot-template-repository,https://github.com/template-repository/springboot-template-repository,8,5,2020-02-06T14:41:49Z,2023-03-27T05:50:25Z,Java
356334096,temporalio,subscription-workflow-project-template-java,https://github.com/temporalio/subscription-workflow-project-template-java,6,8,2021-04-09T16:27:33Z,2025-07-16T04:09:41Z,Java
328322226,lss233,forge-mod-1.7.10,https://github.com/lss233/forge-mod-1.7.10,28,3,2021-01-10T06:53:09Z,2025-07-31T07:58:04Z,Java
996266408,pw2712gz,auth-starter,https://github.com/pw2712gz/auth-starter,2,0,2025-06-04T17:43:52Z,2025-07-20T07:57:55Z,Java
775982933,GreenBlitz,GB-Robot-Template,https://github.com/GreenBlitz/GB-Robot-Template,14,4,2024-03-22T12:49:59Z,2025-07-22T14:48:33Z,Java
113225584,serenity-bdd,serenity-junit-starter,https://github.com/serenity-bdd/serenity-junit-starter,64,93,2017-12-05T19:42:45Z,2025-07-20T05:31:32Z,Java
371041045,drogue-iot,quarkus-mqtt-integration-starter,https://github.com/drogue-iot/quarkus-mqtt-integration-starter,3,2,2021-05-26T13:19:27Z,2024-05-08T13:58:53Z,Java
231076105,kestra-io,plugin-template,https://github.com/kestra-io/plugin-template,30,29,2019-12-31T11:11:02Z,2025-08-08T01:14:05Z,Java
708203653,RusherDevelopment,example-plugin,https://github.com/RusherDevelopment/example-plugin,26,10,2023-10-21T20:47:22Z,2025-08-05T00:00:59Z,Java
361549458,reactive-rsocket-broker,rsocket-broker-simple-example,https://github.com/reactive-rsocket-broker/rsocket-broker-simple-example,4,0,2021-04-25T22:08:08Z,2023-01-04T09:23:51Z,Java
58637774,joinfaces,joinfaces-maven-jar-example,https://github.com/joinfaces/joinfaces-maven-jar-example,91,81,2016-05-12T12:02:29Z,2025-08-07T18:58:06Z,Java
296985234,LarryDpk,pkslow-samples,https://github.com/LarryDpk/pkslow-samples,125,50,2020-09-20T02:10:08Z,2025-06-20T14:43:17Z,Java
