sample_group,repo_url,original_link_repository,owner_type,owner_is_org,created_at,updated_at,repo_age_days,staleness_days,stars,forks,commits_last_12m,ncloc,files,functions,composite_score,mixedness_score,n_metrics_used,strata,repo_context,top_worst_metrics
best,https://github.com/agency-kit/agencykit-11ty-starter,https://github.com/agency-kit/agencykit-11ty-starter,Organization,1,2023-03-17 06:55:36,2025-03-30 09:59:31,1043,236,10,0,0,0,0,0,0.2510966889009074,0.15345275974231534,9,org|low,"age=1043d, stale=236d, commits12m=0, stars=10, forks=0",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/learnthisacademy/nodejs-template,https://github.com/learnthisacademy/nodejs-template,Organization,1,2022-05-26 10:07:49,2025-04-11 14:52:33,1338,223,7,8,0,3,2,1,0.2510966889009074,0.15345275974231534,9,org|low,"age=1338d, stale=223d, commits12m=0, stars=7, forks=8",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/primer/doctocat-template,https://github.com/primer/doctocat-template,Organization,1,2019-07-10 19:48:47,2025-06-29 16:07:12,2388,145,19,15,0,8,1,0,0.2510966889009074,0.15345275974231534,9,org|low,"age=2388d, stale=145d, commits12m=0, stars=19, forks=15",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/digitalocean/sample-functions-nodejs-helloworld,https://github.com/digitalocean/sample-functions-nodejs-helloworld,Organization,1,2022-02-14 12:53:09,2025-09-29 11:52:00,1439,53,38,109,0,14,2,3,0.2510966889009074,0.15345275974231534,9,org|mid,"age=1439d, stale=53d, commits12m=0, stars=38, forks=109",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/cypress-io/cypress-test-tiny,https://github.com/cypress-io/cypress-test-tiny,Organization,1,2017-08-31 18:50:17,2025-09-01 19:25:28,3066,81,82,520,1,11,4,3,0.2510966889009074,0.15345275974231534,9,org|mid,"age=3066d, stale=81d, commits12m=1, stars=82, forks=520",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/allure-examples/mocha-npm-cjs-js,https://github.com/allure-examples/mocha-npm-cjs-js,Organization,1,2015-09-04 08:15:57,2024-11-06 15:55:17,3794,380,37,29,0,18,1,4,0.2510966889009074,0.15345275974231534,9,org|mid,"age=3794d, stale=380d, commits12m=0, stars=37, forks=29",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/tomguillermou/nodets,https://github.com/tomguillermou/nodets,User,0,2023-02-23 17:33:38,2025-01-31 23:01:02,1064,292,2,0,10,27,3,4,0.2510966889009074,0.15345275974231534,9,user|very_low,"age=1064d, stale=292d, commits12m=10, stars=2, forks=0",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/DaniGuardiola/package-template,https://github.com/DaniGuardiola/package-template,User,0,2023-11-05 15:01:58,2024-04-18 00:10:04,809,581,3,1,0,4,2,1,0.2510966889009074,0.15345275974231534,9,user|very_low,"age=809d, stale=581d, commits12m=0, stars=3, forks=1",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/adamdias/nuxt-boilerplate,https://github.com/adamdias/nuxt-boilerplate,User,0,2024-07-26 16:42:48,2024-07-27 23:23:45,545,480,2,0,0,104,8,2,0.2510966889009074,0.15345275974231534,9,user|very_low,"age=545d, stale=480d, commits12m=0, stars=2, forks=0",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/The-Marcy-Lab-School/technical-prework-1,https://github.com/The-Marcy-Lab-School/technical-prework-1,Organization,1,2022-02-04 03:59:18,2024-08-26 18:27:08,1449,451,2,11,0,231,2,45,0.2510966889009074,0.15345275974231534,9,org|very_low,"age=1449d, stale=451d, commits12m=0, stars=2, forks=11",vulnerabilities_per_ncloc:0.47; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
