id,username,project_name,original_link_repository,stars,forks,created_at,updated_at,language
275782010,PHOENIXCONTACT,MORYX-Template,https://github.com/PHOENIXCONTACT/MORYX-Template,21,7,2020-06-29T09:02:49Z,2025-07-13T16:57:49Z,C#
294444776,Redocly,openapi-starter,https://github.com/Redocly/openapi-starter,194,125,2020-09-10T15:11:31Z,2025-08-07T03:02:39Z,C#
575630606,dev-wasm,dev-wasm-dotnet,https://github.com/dev-wasm/dev-wasm-dotnet,33,10,2022-12-08T00:18:50Z,2024-08-26T09:22:14Z,C#
201759245,fossapps,Micro.Starter,https://github.com/fossapps/Micro.Starter,2,1,2019-08-11T12:01:57Z,2021-06-20T10:10:29Z,C#
629970764,Rezakazemi890,Clean-Architecture-CQRS,https://github.com/Rezakazemi890/Clean-Architecture-CQRS,120,35,2023-04-19T11:58:09Z,2025-07-30T11:52:05Z,C#
50858772,NikolayIT,ASP.NET-Core-Template,https://github.com/NikolayIT/ASP.NET-Core-Template,1145,173,2016-02-01T17:55:31Z,2025-08-08T12:58:19Z,C#
471105982,needle-tools,unity-analyzers-starter,https://github.com/needle-tools/unity-analyzers-starter,12,0,2022-03-17T18:54:52Z,2025-05-10T02:18:44Z,C#
111442827,walterpinson,reference-architecture-api,https://github.com/walterpinson/reference-architecture-api,9,14,2017-11-20T17:40:30Z,2024-07-09T00:10:51Z,C#
529362886,vrchat-community,template-world,https://github.com/vrchat-community/template-world,21,4,2022-08-26T18:16:51Z,2025-06-03T12:22:19Z,C#
470065786,nadirbad,VerticalSliceArchitecture,https://github.com/nadirbad/VerticalSliceArchitecture,494,78,2022-03-15T08:22:02Z,2025-08-10T20:58:07Z,C#
370853028,MicaelaGuimaraes,template-api-netcore-ddd,https://github.com/MicaelaGuimaraes/template-api-netcore-ddd,12,5,2021-05-25T23:30:07Z,2022-11-26T20:06:09Z,C#
845272471,tooniez,Aspcore.ReactTemplate,https://github.com/tooniez/Aspcore.ReactTemplate,5,2,2024-08-20T23:39:07Z,2025-05-24T00:10:05Z,C#
446552438,V0ldek,DotnetClassroomTemplate,https://github.com/V0ldek/DotnetClassroomTemplate,9,2,2022-01-10T19:16:49Z,2024-11-14T16:46:14Z,C#
307450163,Teigler,Mvvm4LayerCsharpTemplateNetCore,https://github.com/Teigler/Mvvm4LayerCsharpTemplateNetCore,3,0,2020-10-26T17:20:08Z,2023-05-04T12:20:42Z,C#
233653120,juanluelguerre,DotNet.ApiRest.BasicTemplate,https://github.com/juanluelguerre/DotNet.ApiRest.BasicTemplate,9,5,2020-01-13T17:28:26Z,2025-01-05T14:39:26Z,C#
530675281,fedeantuna,clean-solution-template,https://github.com/fedeantuna/clean-solution-template,4,2,2022-08-30T13:42:35Z,2024-07-22T04:20:11Z,C#
894108836,publicrust,rust-template,https://github.com/publicrust/rust-template,32,18,2024-11-25T19:11:05Z,2025-08-09T07:43:10Z,C#
286554253,iayti,CleanArchitecture,https://github.com/iayti/CleanArchitecture,717,127,2020-08-10T18:48:14Z,2025-08-08T03:49:58Z,C#
678591884,jezzsantos,saastack,https://github.com/jezzsantos/saastack,74,22,2023-08-14T23:11:29Z,2025-08-11T04:17:50Z,C#
112641406,NetCoreTemplates,selfhost,https://github.com/NetCoreTemplates/selfhost,19,11,2017-11-30T17:40:34Z,2025-01-17T03:01:55Z,C#
344747666,adenearnshaw,xam-app-template,https://github.com/adenearnshaw/xam-app-template,7,1,2021-03-05T08:42:44Z,2023-03-13T18:22:01Z,C#
292808542,SinanErmis,HyperTemplate,https://github.com/SinanErmis/HyperTemplate,58,11,2020-09-04T09:35:27Z,2025-06-28T13:35:23Z,C#
372596898,TaylorAbraham,Unity-Photon-Multiplayer-Base,https://github.com/TaylorAbraham/Unity-Photon-Multiplayer-Base,21,5,2021-05-31T18:30:14Z,2025-08-06T20:51:00Z,C#
34482670,TShockResources,PluginTemplate,https://github.com/TShockResources/PluginTemplate,16,5,2015-04-23T21:32:34Z,2024-12-31T11:21:39Z,C#
208256884,CodelyTV,csharp-basic-skeleton,https://github.com/CodelyTV/csharp-basic-skeleton,24,3,2019-09-13T12:06:31Z,2025-04-09T13:23:54Z,C#
301638365,vavilichev,Lukomor,https://github.com/vavilichev/Lukomor,139,18,2020-10-06T06:48:24Z,2025-07-22T10:03:51Z,C#
204906698,viteo,Sharpsaver,https://github.com/viteo/Sharpsaver,4,2,2019-08-28T10:32:13Z,2024-11-16T14:29:22Z,C#
311348483,TeamAojilu,UnityTeamDevTemplate,https://github.com/TeamAojilu/UnityTeamDevTemplate,7,0,2020-11-09T13:32:49Z,2021-02-17T12:45:33Z,C#
573549497,pBouillon,dotnet-advent-of-code-template,https://github.com/pBouillon/dotnet-advent-of-code-template,6,2,2022-12-02T18:26:05Z,2024-11-30T09:38:35Z,C#
113853201,ivanpaulovich,dotnet-new-caju,https://github.com/ivanpaulovich/dotnet-new-caju,249,34,2017-12-11T11:56:28Z,2025-05-31T14:48:53Z,C#
260227287,Orckestra,BetterRetail,https://github.com/Orckestra/BetterRetail,5,4,2020-04-30T14:01:29Z,2025-07-30T07:50:20Z,C#
631892735,Lualttt,crabgame_template_plugin,https://github.com/Lualttt/crabgame_template_plugin,2,0,2023-04-24T09:28:31Z,2024-04-23T23:10:25Z,C#
483811756,afalabarce,NetCoreWebApi,https://github.com/afalabarce/NetCoreWebApi,5,1,2022-04-20T21:00:24Z,2023-07-17T12:29:52Z,C#
195241707,gmagana,clean-architecture-example-csharp,https://github.com/gmagana/clean-architecture-example-csharp,9,3,2019-07-04T12:55:42Z,2025-07-15T07:58:11Z,C#
539025481,Luxury-Sapanca,Boilerplate,https://github.com/Luxury-Sapanca/Boilerplate,2,1,2022-09-20T14:15:04Z,2024-08-10T07:08:33Z,C#
720281513,ktutak1337,Discord-Bot-Template,https://github.com/ktutak1337/Discord-Bot-Template,4,0,2023-11-18T02:16:37Z,2024-04-22T19:33:51Z,C#
268801986,PTrottier,SteamVR_Trackers_Unity,https://github.com/PTrottier/SteamVR_Trackers_Unity,4,0,2020-06-02T13:00:33Z,2024-07-29T07:39:38Z,C#
582853208,sanamhub,dotnet-windows-service,https://github.com/sanamhub/dotnet-windows-service,3,0,2022-12-28T03:37:35Z,2025-07-17T17:17:08Z,C#
192654460,bervProject,NETCoreAPIBoilerplate,https://github.com/bervProject/NETCoreAPIBoilerplate,8,7,2019-06-19T03:50:34Z,2025-08-07T01:50:43Z,C#
324795907,IllusionMods,PluginTemplate,https://github.com/IllusionMods/PluginTemplate,3,0,2020-12-27T15:55:16Z,2024-11-16T02:35:12Z,C#
552234885,thehaseebahmed,aspnetcore-clean-architecture,https://github.com/thehaseebahmed/aspnetcore-clean-architecture,3,2,2022-10-16T05:41:23Z,2024-08-19T16:48:12Z,C#
899509099,AXECAC,Template-Back-End-C-Sharp,https://github.com/AXECAC/Template-Back-End-C-Sharp,3,1,2024-12-06T12:15:03Z,2025-07-09T17:29:46Z,C#
207677669,scalex000,RepositoryPatternTemplate,https://github.com/scalex000/RepositoryPatternTemplate,3,0,2019-09-10T22:56:31Z,2020-03-26T15:39:46Z,C#
887088397,prasadhonrao,github-actions-workshop,https://github.com/prasadhonrao/github-actions-workshop,8,11,2024-11-12T06:27:49Z,2025-07-10T05:46:34Z,C#
302838973,Amitpnk,Clean-Architecture-ASP.NET-Core,https://github.com/Amitpnk/Clean-Architecture-ASP.NET-Core,115,37,2020-10-10T07:09:55Z,2025-08-05T12:45:44Z,C#
210804793,CodelyTV,csharp-ddd-skeleton,https://github.com/CodelyTV/csharp-ddd-skeleton,175,36,2019-09-25T09:19:46Z,2025-06-26T01:24:54Z,C#
376507482,thangchung,tailwindonblazor-template,https://github.com/thangchung/tailwindonblazor-template,4,1,2021-06-13T10:13:23Z,2021-10-02T13:49:23Z,C#
345256279,jmarolf,generator-start,https://github.com/jmarolf/generator-start,22,0,2021-03-07T04:14:53Z,2024-05-09T15:49:30Z,C#
732437903,iSplasher,musicbee-plugin,https://github.com/iSplasher/musicbee-plugin,3,3,2023-12-16T17:11:30Z,2025-06-29T18:30:54Z,C#
206619834,shibayan,azure-functions-boilerplate,https://github.com/shibayan/azure-functions-boilerplate,20,6,2019-09-05T17:24:55Z,2023-09-11T16:07:02Z,C#
418004166,tuyen-vuduc,todo-app-xamarin-forms,https://github.com/tuyen-vuduc/todo-app-xamarin-forms,43,13,2021-10-17T02:58:57Z,2024-05-25T07:03:13Z,C#
563506452,hsadler,unity-2d-topdown-template,https://github.com/hsadler/unity-2d-topdown-template,25,5,2022-11-08T18:57:05Z,2025-05-16T04:49:35Z,C#
255739323,nruizneiman,netcore-base,https://github.com/nruizneiman/netcore-base,7,0,2020-04-14T22:14:14Z,2024-12-09T15:05:07Z,C#
583487931,ulomaramma,repository-pattern,https://github.com/ulomaramma/repository-pattern,101,49,2022-12-29T23:34:57Z,2025-07-14T07:56:00Z,C#
235384483,realitystudios,Quest-VRTK-Boilerplate,https://github.com/realitystudios/Quest-VRTK-Boilerplate,4,2,2020-01-21T16:10:39Z,2022-04-14T11:17:32Z,C#
377098827,ilkerogutcu,.Net-Core-5-boilerplate,https://github.com/ilkerogutcu/.Net-Core-5-boilerplate,2,0,2021-06-15T08:56:37Z,2021-12-28T19:10:29Z,C#
854768315,arnobt78,Gesture-Recognition-Control-Powerpoint-Presentation--Microsoft-Kinect-Sensor-CSharp,https://github.com/arnobt78/Gesture-Recognition-Control-Powerpoint-Presentation--Microsoft-Kinect-Sensor-CSharp,4,1,2024-09-09T18:39:09Z,2025-07-29T21:59:12Z,C#
393926997,nurulhudaapon,boilerplate-dotenet-mssql,https://github.com/nurulhudaapon/boilerplate-dotenet-mssql,2,0,2021-08-08T10:16:50Z,2023-08-18T20:50:20Z,C#
651241439,PDMLab,aspnetcore-vite-react-template,https://github.com/PDMLab/aspnetcore-vite-react-template,2,0,2023-06-08T20:29:19Z,2023-10-31T07:25:37Z,C#
682155822,Kilvny,ASP.NET-CORE-WEP-API-Repository-Pattern,https://github.com/Kilvny/ASP.NET-CORE-WEP-API-Repository-Pattern,11,4,2023-08-23T15:01:06Z,2024-12-29T16:05:34Z,C#
173978068,LBHackney-IT,lbh-base-api,https://github.com/LBHackney-IT/lbh-base-api,6,4,2019-03-05T16:05:10Z,2025-04-14T17:50:29Z,C#
190384107,jernejk,AspNetCoreSerilogExample,https://github.com/jernejk/AspNetCoreSerilogExample,36,4,2019-06-05T11:42:31Z,2024-06-09T08:45:03Z,C#
457540826,RTeeen,dotnetMidtermStarter,https://github.com/RTeeen/dotnetMidtermStarter,2,5,2022-02-09T21:53:03Z,2023-10-05T03:48:52Z,C#
273663618,Rimworld-Mods,Template,https://github.com/Rimworld-Mods/Template,45,19,2020-06-20T07:52:35Z,2025-07-27T00:53:11Z,C#
417006183,stphnwlsh,CleanMinimalApi,https://github.com/stphnwlsh/CleanMinimalApi,321,51,2021-10-14T05:56:31Z,2025-08-08T16:21:13Z,C#
735147715,samjesus8,CSharp-Discord-Bot-Template-NET8,https://github.com/samjesus8/CSharp-Discord-Bot-Template-NET8,13,1,2023-12-23T20:47:02Z,2025-07-03T02:00:32Z,C#
715256561,BorisLarkin,Modular-Godot-Obj-System,https://github.com/BorisLarkin/Modular-Godot-Obj-System,4,1,2023-11-06T19:24:29Z,2025-04-11T08:36:26Z,C#
385954941,Arefnue,NueDeck,https://github.com/Arefnue/NueDeck,79,20,2021-07-14T13:42:53Z,2025-07-27T13:41:18Z,C#
374484853,Windows10CE,HacknetPluginTemplate,https://github.com/Windows10CE/HacknetPluginTemplate,6,0,2021-06-06T23:32:36Z,2025-06-23T23:41:22Z,C#
425374440,isaacOjeda,MinimalApiArchitecture,https://github.com/isaacOjeda/MinimalApiArchitecture,178,37,2021-11-06T23:54:41Z,2025-07-15T14:16:15Z,C#
702203091,sergeymkrt,CleanArchitectureTemplate,https://github.com/sergeymkrt/CleanArchitectureTemplate,2,0,2023-10-08T19:38:04Z,2024-02-02T06:55:38Z,C#
584379984,zamat,zamat-clean-architecture,https://github.com/zamat/zamat-clean-architecture,22,2,2023-01-02T12:02:09Z,2025-07-10T23:59:48Z,C#
589788297,microsoft,skillBotTemplate,https://github.com/microsoft/skillBotTemplate,16,2,2023-01-16T23:49:39Z,2024-08-24T22:03:16Z,C#
300127600,space-wizards,RobustToolboxTemplate,https://github.com/space-wizards/RobustToolboxTemplate,11,14,2020-10-01T03:22:58Z,2025-06-09T19:48:23Z,C#
342637264,fullstackhero,blazor-starter-kit,https://github.com/fullstackhero/blazor-starter-kit,3570,746,2021-02-26T16:39:36Z,2025-08-08T19:59:57Z,C#
801526841,Sythenz,PluginTemplate,https://github.com/Sythenz/PluginTemplate,10,0,2024-05-16T12:02:28Z,2025-02-07T16:46:53Z,C#
972185496,coredevsushant,mcp.example,https://github.com/coredevsushant/mcp.example,2,0,2025-04-24T17:05:44Z,2025-06-25T05:28:10Z,C#
308795845,Amitpnk,Modular-Architecture-ASP.NET-Core,https://github.com/Amitpnk/Modular-Architecture-ASP.NET-Core,22,13,2020-10-31T03:28:54Z,2025-06-28T13:55:56Z,C#
228831854,Kodrin,Unity-Compute-Template,https://github.com/Kodrin/Unity-Compute-Template,11,1,2019-12-18T12:05:38Z,2024-07-19T02:24:31Z,C#
785925736,paulohenriquesn,revit-webview-template,https://github.com/paulohenriquesn/revit-webview-template,5,0,2024-04-12T23:32:59Z,2024-04-15T14:39:09Z,C#
772073297,MitarBrankovic,.net8-angular18-template-jwt,https://github.com/MitarBrankovic/.net8-angular18-template-jwt,7,0,2024-03-14T13:39:40Z,2025-04-02T21:00:37Z,C#
589257669,rsousacode,AspNetSPA_SvelteKit,https://github.com/rsousacode/AspNetSPA_SvelteKit,24,4,2023-01-15T15:45:18Z,2025-05-19T18:30:28Z,C#
965405905,Trauki,avalonia-custom-titlebar,https://github.com/Trauki/avalonia-custom-titlebar,2,0,2025-04-13T05:00:21Z,2025-04-15T19:49:32Z,C#
231154757,OmiyaGames,template-unity-package,https://github.com/OmiyaGames/template-unity-package,71,18,2019-12-31T23:00:21Z,2025-05-30T16:48:33Z,C#
108205573,NetCoreTemplates,web,https://github.com/NetCoreTemplates/web,9,9,2017-10-25T01:47:54Z,2025-01-01T08:16:33Z,C#
265165259,chi-rei-den,PluginTemplate,https://github.com/chi-rei-den/PluginTemplate,4,3,2020-05-19T06:34:03Z,2023-10-09T16:27:58Z,C#
127228300,rewrking,monogame-vscode-boilerplate,https://github.com/rewrking/monogame-vscode-boilerplate,21,1,2018-03-29T02:54:00Z,2025-04-24T23:08:06Z,C#
871057200,bytlabs,BytLabs.MicroserviceTemplate,https://github.com/bytlabs/BytLabs.MicroserviceTemplate,25,2,2024-10-11T07:26:39Z,2025-04-14T14:35:04Z,C#
664659931,Nexus-Mods,NexusMods.App.Template,https://github.com/Nexus-Mods/NexusMods.App.Template,2,0,2023-07-10T13:17:47Z,2023-07-17T22:28:10Z,C#
775144503,juleswhi,ssd-coursework-template,https://github.com/juleswhi/ssd-coursework-template,2,1,2024-03-20T20:56:29Z,2024-10-11T16:24:27Z,C#
224503202,Drake53,War3Map.Template,https://github.com/Drake53/War3Map.Template,11,1,2019-11-27T19:31:11Z,2024-10-30T21:28:19Z,C#
237210470,keremvaris,Sennedjem,https://github.com/keremvaris/Sennedjem,212,34,2020-01-30T12:40:15Z,2025-07-03T10:58:27Z,C#
132469977,approvals,ApprovalTests.Net.StarterProject,https://github.com/approvals/ApprovalTests.Net.StarterProject,2,2,2018-05-07T14:10:09Z,2024-07-30T02:42:56Z,C#
530004907,IngoHHacks,CotLTemplateMod,https://github.com/IngoHHacks/CotLTemplateMod,4,0,2022-08-28T23:28:18Z,2024-11-12T16:31:24Z,C#
752730259,varianter,dotnet-template,https://github.com/varianter/dotnet-template,28,12,2024-02-04T16:44:13Z,2025-07-31T07:15:58Z,C#
257384126,karashiiro,DalamudPluginProjectTemplate,https://github.com/karashiiro/DalamudPluginProjectTemplate,19,15,2020-04-20T19:32:22Z,2024-01-16T18:12:57Z,C#
684348425,viceroypenguin,VsaTemplate,https://github.com/viceroypenguin/VsaTemplate,43,3,2023-08-29T00:37:49Z,2025-08-05T22:46:03Z,C#
274175324,iammukeshm,CleanArchitecture.WebApi,https://github.com/iammukeshm/CleanArchitecture.WebApi,1461,355,2020-06-22T15:29:38Z,2025-08-08T08:34:44Z,C#
649376430,dizco,AzureDevOps.InnerSource,https://github.com/dizco/AzureDevOps.InnerSource,3,0,2023-06-04T16:49:55Z,2023-11-20T17:52:58Z,C#
587574281,Dual-Iron,TestMod,https://github.com/Dual-Iron/TestMod,14,12,2023-01-11T04:10:51Z,2025-01-30T00:03:22Z,C#
267568886,Amitpnk,Onion-architecture-ASP.NET-Core,https://github.com/Amitpnk/Onion-architecture-ASP.NET-Core,919,161,2020-05-28T11:13:19Z,2025-08-06T11:29:37Z,C#
470240965,FireCubeStudios,TemplateApp,https://github.com/FireCubeStudios/TemplateApp,21,3,2022-03-15T16:22:10Z,2025-01-27T02:21:00Z,C#
338703046,havit,NewProjectTemplate-Blazor,https://github.com/havit/NewProjectTemplate-Blazor,75,21,2021-02-14T00:59:37Z,2025-08-03T21:49:52Z,C#
420075847,jonahandersson,serverless-azure-durable-function-chaining-dotnet-template,https://github.com/jonahandersson/serverless-azure-durable-function-chaining-dotnet-template,13,4,2021-10-22T11:38:25Z,2025-01-04T04:33:44Z,C#
400864489,Mirsario,DissonanceEngine_GameTemplate,https://github.com/Mirsario/DissonanceEngine_GameTemplate,3,1,2021-08-28T18:34:11Z,2023-06-12T11:46:31Z,C#
836752577,CursedPrograms,Unity-ARFoundation-Template,https://github.com/CursedPrograms/Unity-ARFoundation-Template,5,0,2024-08-01T13:38:53Z,2025-04-17T05:47:37Z,C#
55849735,MacdonaldRobinson,FlexDotnetCMS,https://github.com/MacdonaldRobinson/FlexDotnetCMS,47,7,2016-04-09T14:48:43Z,2024-02-14T18:14:14Z,C#
319660899,gitpod-samples,template-dotnet-core-cli-csharp,https://github.com/gitpod-samples/template-dotnet-core-cli-csharp,35,99,2020-12-08T14:19:13Z,2024-08-11T20:06:46Z,C#
159340416,emilybache,SupermarketReceipt-Refactoring-Kata,https://github.com/emilybache/SupermarketReceipt-Refactoring-Kata,113,315,2018-11-27T13:33:22Z,2025-07-10T13:49:25Z,C#
69673033,ardalis,CleanArchitecture,https://github.com/ardalis/CleanArchitecture,17294,2960,2016-09-30T14:19:20Z,2025-08-11T03:03:16Z,C#
455800700,neozhu,CleanArchitectureWithBlazorServer,https://github.com/neozhu/CleanArchitectureWithBlazorServer,1059,280,2022-02-05T07:04:21Z,2025-08-10T22:21:21Z,C#
621001811,mehdihadeli,vertical-slice-api-template,https://github.com/mehdihadeli/vertical-slice-api-template,237,37,2023-03-29T19:48:14Z,2025-08-09T12:51:09Z,C#
370167768,jtprichard,RevitWPFFW,https://github.com/jtprichard/RevitWPFFW,18,6,2021-05-23T22:14:42Z,2025-08-08T09:29:20Z,C#
783914354,ardalis,modulith,https://github.com/ardalis/modulith,148,16,2024-04-08T20:31:34Z,2025-08-03T18:34:46Z,C#
213509615,CCheckley,Unity-2D-Platformer-Template,https://github.com/CCheckley/Unity-2D-Platformer-Template,11,2,2019-10-08T00:04:14Z,2025-02-19T17:21:48Z,C#
