id,username,project_name,original_link_repository,stars,forks,created_at,updated_at,language
491567393,arnav-kr,tor-tutorial,https://github.com/arnav-kr/tor-tutorial,27,4,2022-05-12T15:21:40Z,2025-05-18T06:59:43Z,JavaScript
349444943,wikimedia-gadgets,twinkle-starter,https://github.com/wikimedia-gadgets/twinkle-starter,11,8,2021-03-19T14:08:35Z,2025-06-14T12:35:55Z,JavaScript
757120101,phaserjs,template-react,https://github.com/phaserjs/template-react,127,45,2024-02-13T21:02:14Z,2025-07-31T14:31:12Z,JavaScript
338818430,upgundecha,howtheysre,https://github.com/upgundecha/howtheysre,9415,822,2021-02-14T14:03:02Z,2025-08-10T08:14:31Z,JavaScript
219324208,SafdarJamal,react-redux-firebase-auth,https://github.com/SafdarJamal/react-redux-firebase-auth,12,3,2019-11-03T15:43:49Z,2023-10-04T07:16:00Z,JavaScript
1006918432,ursisterbtw,ccprompts,https://github.com/ursisterbtw/ccprompts,39,2,2025-06-23T07:34:05Z,2025-08-10T23:52:40Z,JavaScript
127533825,v4iv,gatsby-starter-business,https://github.com/v4iv/gatsby-starter-business,255,96,2018-03-31T13:20:45Z,2025-03-13T16:05:31Z,JavaScript
471774919,dancrtis,supabase-tailwind-rn,https://github.com/dancrtis/supabase-tailwind-rn,22,1,2022-03-19T18:05:26Z,2024-01-08T02:52:17Z,JavaScript
279147411,iammukeshm,AdminLTE.StarterKit,https://github.com/iammukeshm/AdminLTE.StarterKit,84,28,2020-07-12T21:01:36Z,2025-05-17T10:26:27Z,JavaScript
120273284,SystangoTechnologies,RN-Boilerplate,https://github.com/SystangoTechnologies/RN-Boilerplate,11,3,2018-02-05T08:02:10Z,2021-09-29T06:47:49Z,JavaScript
107809356,psychobolt,react-rollup-boilerplate,https://github.com/psychobolt/react-rollup-boilerplate,30,1,2017-10-21T19:24:21Z,2025-05-17T01:44:06Z,JavaScript
78803263,diegohaz,nod,https://github.com/diegohaz/nod,357,36,2017-01-13T01:29:48Z,2025-05-28T21:39:11Z,JavaScript
479832166,ektogamat,threejs-andy-boilerplate,https://github.com/ektogamat/threejs-andy-boilerplate,731,137,2022-04-09T20:06:21Z,2025-08-02T00:08:10Z,JavaScript
758349992,dleeftink,observable-node-codespace,https://github.com/dleeftink/observable-node-codespace,12,1,2024-02-16T05:55:26Z,2025-07-19T00:36:17Z,JavaScript
25714762,StartBootstrap,startbootstrap-stylish-portfolio,https://github.com/StartBootstrap/startbootstrap-stylish-portfolio,893,1389,2014-10-25T00:42:36Z,2025-07-29T00:03:51Z,JavaScript
942150107,mdjastrzebski,ts-lib-template,https://github.com/mdjastrzebski/ts-lib-template,5,0,2025-03-03T16:49:13Z,2025-03-13T08:32:53Z,JavaScript
568649023,vivid-labs,vivid-landing-template-simple,https://github.com/vivid-labs/vivid-landing-template-simple,13,1,2022-11-21T05:27:19Z,2025-04-10T08:51:14Z,JavaScript
250368824,Niweera,men-pp-template,https://github.com/Niweera/men-pp-template,12,2,2020-03-26T20:50:32Z,2025-02-17T00:14:38Z,JavaScript
