id,username,project_name,original_link_repository,stars,forks,created_at,updated_at,language
366908650,shipyard,flask-starter,https://github.com/shipyard/flask-starter,2,13,2021-05-13T02:14:24Z,2024-05-22T14:34:20Z,Python
238668825,dfbarrero,arcade-labs,https://github.com/dfbarrero/arcade-labs,2,109,2020-02-06T11:03:12Z,2025-03-06T18:45:51Z,Python
703961559,lunargon,FastAPI-simple-boilerplate,https://github.com/lunargon/FastAPI-simple-boilerplate,2,3,2023-10-12T09:00:22Z,2025-03-24T04:58:30Z,Python
778711322,nextcloud,app-skeleton-python,https://github.com/nextcloud/app-skeleton-python,2,5,2024-03-28T08:51:33Z,2025-09-24T20:04:23Z,Python
813896120,fauzaanu,telegram-stars-starter,https://github.com/fauzaanu/telegram-stars-starter,2,0,2024-06-12T00:33:36Z,2024-09-15T05:50:11Z,Python
825945846,tturocy,starter2025a,https://github.com/tturocy/starter2025a,2,2,2024-07-08T20:10:20Z,2025-08-29T12:40:56Z,Python
341332717,DevSkillsHQ,fullstack-boilerplate-django-react,https://github.com/DevSkillsHQ/fullstack-boilerplate-django-react,2,6,2021-02-22T20:46:39Z,2025-10-17T13:37:10Z,Python
245873636,sylhare,python-seed,https://github.com/sylhare/python-seed,2,2,2020-03-08T19:19:13Z,2024-10-08T01:08:48Z,Python
997162329,SteamClientHomebrew,PluginTemplate,https://github.com/SteamClientHomebrew/PluginTemplate,2,2,2025-06-06T04:10:16Z,2025-09-21T23:05:04Z,Python
512657024,allfed,ALLFED-Repository-Template,https://github.com/allfed/ALLFED-Repository-Template,2,6,2022-07-11T07:26:55Z,2025-08-22T14:38:50Z,Python
410307698,ELC,python-practice2,https://github.com/ELC/python-practice2,2,132,2021-09-25T15:24:56Z,2022-09-05T21:26:30Z,Python
1059707435,livekit-examples,voice-agent-hackathon,https://github.com/livekit-examples/voice-agent-hackathon,2,2,2025-09-18T20:30:45Z,2025-10-14T23:11:13Z,Python
797897972,akuity,argo-workflows-training-template,https://github.com/akuity/argo-workflows-training-template,2,22,2024-05-08T17:41:11Z,2024-05-22T08:09:53Z,Python
809357917,4GeeksAcademy,CodeAaron-instagram,https://github.com/4GeeksAcademy/CodeAaron-instagram,2,2,2024-06-02T13:18:58Z,2025-04-04T02:29:40Z,Python
