metric,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_bonf,spearman_p_bonf,pearson_p_fdr,spearman_p_fdr,pearson_sig_bonf,spearman_sig_bonf,pearson_sig_fdr,spearman_sig_fdr,spearman_effect_bin
bugs_per_kloc,staleness_days,3356,0.017868834150252387,0.30073602524119897,-0.030112625931313617,0.08112422426868664,1.0,1.0,0.8767183819321569,0.11839751650024535,False,False,False,False,negligible
bugs_per_kloc,commits_last_12m,3356,-0.0007781865538144914,0.9640560307933321,0.08998812538154248,1.772343379129041e-07,1.0,9.570654247296821e-06,0.9904398922675174,1.914130849459364e-06,False,True,False,True,negligible
bugs_per_kloc,repo_age_days,3356,0.017728900952047676,0.3045377628521064,0.03739050082920214,0.030309711511438332,1.0,1.0,0.8767183819321569,0.048138953576990294,False,False,False,True,negligible
bugs_per_kloc,log_stars,3356,-0.0005395082620388751,0.9750760596736202,0.08606599194670739,5.935683689999306e-07,1.0,3.205269192599625e-05,0.9904398922675174,5.342115320999376e-06,False,True,False,True,negligible
bugs_per_kloc,log_forks,3356,-0.01112150179913917,0.5195368189227596,0.054287252532649564,0.0016548441773840893,1.0,0.08936158557874083,0.8767183819321569,0.00525656385757299,False,False,False,True,negligible
bugs_per_kloc,owner_is_org,3356,0.028933143180220184,0.09376715860626773,-0.041862226469442015,0.01529658185867977,1.0,0.8260154203687076,0.8767183819321569,0.028064724417568267,False,False,False,True,negligible
code_smells_per_kloc,staleness_days,3356,0.018972644467635295,0.2718581108669372,0.05472212295490666,0.0015175715662910615,1.0,0.08194886457971731,0.8767183819321569,0.005121804036232333,False,False,False,True,negligible
code_smells_per_kloc,commits_last_12m,3356,-0.0008130496664262751,0.962446888121358,-0.06820364732250676,7.677894601100844e-05,1.0,0.004146063084594456,0.9904398922675174,0.0004146063084594456,False,True,False,True,negligible
code_smells_per_kloc,repo_age_days,3356,0.01697573588769498,0.3255455646121795,0.1366766950437301,1.8321294500000376e-15,1.0,9.893499030000203e-14,0.8767183819321569,9.893499030000203e-14,False,True,False,True,small
code_smells_per_kloc,log_stars,3356,-0.008845842197036234,0.6084637762910337,0.021163773640958082,0.22030445002432705,1.0,1.0,0.9672047660509343,0.24784250627736795,False,False,False,False,negligible
code_smells_per_kloc,log_forks,3356,-0.01449979139432112,0.40106621693008154,0.02628137052997441,0.12795856622731694,1.0,1.0,0.8767183819321569,0.16173240261222152,False,False,False,False,negligible
code_smells_per_kloc,owner_is_org,3356,0.02565358489639583,0.13732447984860383,-0.033186708429624116,0.054561447663600875,1.0,1.0,0.8767183819321569,0.08418051925241278,False,False,False,False,negligible
vulnerabilities_per_kloc,staleness_days,3356,-0.00501548678367644,0.771475271751748,-0.01152984685204358,0.5043194610899815,1.0,1.0,0.9904398922675174,0.5339853117423333,False,False,False,False,negligible
vulnerabilities_per_kloc,commits_last_12m,3356,-0.0007040149302460056,0.9674799767341226,0.04296600714394644,0.012800005007380799,1.0,0.6912002703985631,0.9904398922675174,0.026584625784560122,False,False,False,True,negligible
vulnerabilities_per_kloc,repo_age_days,3356,-0.005931724516844102,0.7312180514704184,-0.009120866559099687,0.5973639937290758,1.0,1.0,0.9904398922675174,0.608635012478681,False,False,False,False,negligible
vulnerabilities_per_kloc,log_stars,3356,0.02468639306989874,0.1527766124822893,0.01061978725317885,0.5385527524421336,1.0,1.0,0.8767183819321569,0.5592663198437542,False,False,False,False,negligible
vulnerabilities_per_kloc,log_forks,3356,0.01778287228980084,0.3030676956929033,0.04217927848713421,0.014538931862611307,1.0,0.7851023205810106,0.8767183819321569,0.02803936859217895,False,False,False,True,negligible
vulnerabilities_per_kloc,owner_is_org,3356,-0.011951926572110699,0.48884077111521873,-0.04384964571018829,0.01106848643329779,1.0,0.5976982673980807,0.8767183819321569,0.025108923497371958,False,False,False,True,negligible
security_hotspots_per_kloc,staleness_days,3356,0.015789071527947614,0.36051045882625704,-0.048515146579057096,0.004936645933718326,1.0,0.2665788804207896,0.8767183819321569,0.014030467390567873,False,False,False,True,negligible
security_hotspots_per_kloc,commits_last_12m,3356,-0.0040444578243033205,0.8148195193799107,0.025672920568719757,0.13702833199533096,1.0,1.0,0.9904398922675174,0.16817113472154255,False,False,False,False,negligible
security_hotspots_per_kloc,repo_age_days,3356,0.03794085348300447,0.02795453204243936,0.04612534921129503,0.007528517450539664,1.0,0.40653994232914187,0.7547723651458628,0.018886921618532695,False,False,False,True,negligible
security_hotspots_per_kloc,log_stars,3356,0.013666815107856143,0.4286673301505268,0.0845700728182522,9.286058456750996e-07,1.0,5.014471566645538e-05,0.8767183819321569,7.163530809493626e-06,False,True,False,True,negligible
security_hotspots_per_kloc,log_forks,3356,0.002699825942127954,0.87576059996087,0.06730082697503377,9.548970839467161e-05,1.0,0.005156444253312267,0.9904398922675174,0.0004687676593920243,False,True,False,True,negligible
security_hotspots_per_kloc,owner_is_org,3356,0.007361786154028048,0.6698728748198461,-0.06875489909186991,6.711915529089347e-05,1.0,0.0036244343857082476,0.9776523037911268,0.00040271493174536086,False,True,False,True,negligible
vuln_blocker_per_kloc,staleness_days,3356,-0.0016718877507603857,0.9228708459293549,-0.02956709373533685,0.08678846944035774,1.0,1.0,0.9904398922675174,0.12333098288892942,False,False,False,False,negligible
vuln_blocker_per_kloc,commits_last_12m,3356,-0.0011618587587680607,0.9463567440920121,0.06672123949950619,0.000109687401164158,1.0,0.005923119662864532,0.9904398922675174,0.000493593305238711,False,True,False,True,negligible
vuln_blocker_per_kloc,repo_age_days,3356,-0.0007948063880582994,0.9632889066657995,0.04094838622867313,0.01767811636652178,1.0,0.9546182837921761,0.9904398922675174,0.03079413818684439,False,False,False,True,negligible
vuln_blocker_per_kloc,log_stars,3356,0.01782500589577056,0.30192334674649207,0.026490246473902225,0.12495492253970035,1.0,1.0,0.8767183819321569,0.16173240261222152,False,False,False,False,negligible
vuln_blocker_per_kloc,log_forks,3356,0.008759960686364926,0.6119486124513409,0.04174253525763594,0.015591513565315705,1.0,0.8419417325270481,0.9672047660509343,0.028064724417568267,False,False,False,True,negligible
vuln_blocker_per_kloc,owner_is_org,3356,-0.005571791645179284,0.7469514728716811,-0.045998930885139296,0.00769467177051332,1.0,0.4155122756077193,0.9904398922675174,0.018886921618532695,False,False,False,True,negligible
vuln_critical_per_kloc,staleness_days,3356,0.02394193697552304,0.16554477585679883,-0.028840488572116567,0.0948237998628892,1.0,1.0,0.8767183819321569,0.1312944921178466,False,False,False,False,negligible
vuln_critical_per_kloc,commits_last_12m,3356,-0.00020691117852483402,0.9904398922675174,0.025089821647803403,0.146177790058771,1.0,1.0,0.9904398922675174,0.1754133480705252,False,False,False,False,negligible
vuln_critical_per_kloc,repo_age_days,3356,0.021159699885118496,0.22039329926832282,0.02722987764389847,0.11475902817661851,1.0,1.0,0.8767183819321569,0.154924688038435,False,False,False,False,negligible
vuln_critical_per_kloc,log_stars,3356,-0.011466123013876678,0.5066786166138756,0.04674335527932575,0.006761650721182797,1.0,0.365129138943871,0.8767183819321569,0.018256456947193554,False,False,False,True,negligible
vuln_critical_per_kloc,log_forks,3356,-0.012718757338541057,0.4613865893199991,0.03136193764390479,0.06927865828510142,1.0,1.0,0.8767183819321569,0.10391798742765214,False,False,False,False,negligible
vuln_critical_per_kloc,owner_is_org,3356,0.01488564772362945,0.3886507206080369,-0.09559896586589793,2.8765008601933742e-08,1.0,1.5533104645044222e-06,0.8767183819321569,5.177701548348074e-07,False,True,False,True,negligible
vuln_major_per_kloc,staleness_days,3356,0.016693799416294113,0.3336462852923702,0.015352428527198947,0.37394799085811414,1.0,1.0,0.8767183819321569,0.4121059491089421,False,False,False,False,negligible
vuln_major_per_kloc,commits_last_12m,3356,-0.0007631794999953858,0.9647487421710587,-0.013715391117354897,0.4270280232966258,1.0,1.0,0.9904398922675174,0.4611902651603559,False,False,False,False,negligible
vuln_major_per_kloc,repo_age_days,3356,0.013818725837755026,0.42355293245685893,0.0937811420522949,5.244681144427902e-08,1.0,2.832127817991067e-06,0.8767183819321569,7.080319544977668e-07,False,True,False,True,negligible
vuln_major_per_kloc,log_stars,3356,-0.0062112888644952225,0.7190748146707794,0.03987633803312551,0.020880731091955058,1.0,1.0,0.9904398922675174,0.03523623371767416,False,False,False,True,negligible
vuln_major_per_kloc,log_forks,3356,-0.014189153365790895,0.4112323478132967,0.021184370519437484,0.21985562209586335,1.0,1.0,0.8767183819321569,0.24784250627736795,False,False,False,False,negligible
vuln_major_per_kloc,owner_is_org,3356,0.02806200780919843,0.10408279687446433,-0.04310174857832907,0.012519338433556869,1.0,0.6760442754120709,0.8767183819321569,0.026584625784560122,False,False,False,True,negligible
vuln_minor_per_kloc,staleness_days,3356,0.017883272364507513,0.30034557124511757,0.02196509338105862,0.2033236953329808,1.0,1.0,0.8767183819321569,0.23868433799958616,False,False,False,False,negligible
vuln_minor_per_kloc,commits_last_12m,3356,-0.0014616036340705327,0.9325470788117449,-0.006618070075542237,0.701532372770038,1.0,1.0,0.9904398922675174,0.701532372770038,False,False,False,False,negligible
vuln_minor_per_kloc,repo_age_days,3356,0.02215498667126091,0.19944312316300578,0.10526393112772404,9.792198795681265e-10,1.0,5.2877873496678827e-08,0.8767183819321569,2.6438936748339417e-08,False,True,False,True,small
vuln_minor_per_kloc,log_stars,3356,-0.00768753125681686,0.6561846241583095,0.04231730049961989,0.014219571680670664,1.0,0.7678568707562159,0.9776523037911268,0.02803936859217895,False,False,False,True,negligible
