sample_group,repo_url,original_link_repository,owner_type,owner_is_org,created_at,updated_at,repo_age_days,staleness_days,stars,forks,commits_last_12m,ncloc,files,functions,composite_score,mixedness_score,n_metrics_used,strata,repo_context,top_worst_metrics
best,https://github.com/runelite/example-plugin,https://github.com/runelite/example-plugin,Organization,1,2019-12-12 20:01:22,2025-10-27 19:58:40,2233,24,101,304,1,99,4,6,0.22031382527565735,0.1437426797878973,9,org|mid,"age=2233d, stale=24d, commits12m=1, stars=101, forks=304",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; vuln_info_per_ncloc:0.35
best,https://github.com/JavaFX-Starter/JavaFX-Package-Sample,https://github.com/JavaFX-Starter/JavaFX-Package-Sample,Organization,1,2021-01-19 07:31:34,2025-11-07 13:51:04,1830,13,106,14,2,408,7,12,0.27078032230703986,0.10510678940920287,9,org|mid,"age=1830d, stale=13d, commits12m=2, stars=106, forks=14",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; vuln_info_per_ncloc:0.35
best,https://github.com/tomitribe/tomee-jaxrs-starter-project,https://github.com/tomitribe/tomee-jaxrs-starter-project,Organization,1,2014-06-24 03:41:37,2025-10-10 08:13:02,4231,41,49,30,1,206,6,17,0.272264631043257,0.13951543377451162,9,org|mid,"age=4231d, stale=41d, commits12m=1, stars=49, forks=30",vuln_minor_per_ncloc:0.46; vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37
best,https://github.com/SpongePowered/sponge-plugin-template,https://github.com/SpongePowered/sponge-plugin-template,Organization,1,2021-02-24 21:43:48,2024-05-18 22:23:52,1793,550,3,5,0,58,3,5,0.22031382527565735,0.1437426797878973,9,org|very_low,"age=1793d, stale=550d, commits12m=0, stars=3, forks=5",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; vuln_info_per_ncloc:0.35
best,https://github.com/FairyProject/fairy-bukkit-template,https://github.com/FairyProject/fairy-bukkit-template,Organization,1,2022-08-05 16:49:26,2025-09-15 14:37:41,1266,66,3,1,1,11,3,1,0.22031382527565735,0.1437426797878973,9,org|very_low,"age=1266d, stale=66d, commits12m=1, stars=3, forks=1",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; vuln_info_per_ncloc:0.35
best,https://github.com/rife2/rife2-gradle-hello,https://github.com/rife2/rife2-gradle-hello,Organization,1,2023-02-12 16:37:38,2024-09-01 00:10:58,1075,445,3,3,0,92,10,5,0.31424936386768454,0.15621485095010215,9,org|very_low,"age=1075d, stale=445d, commits12m=0, stars=3, forks=3",vuln_major_per_ncloc:0.61; vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37
best,https://github.com/4drian3d/VelocityPluginTemplate,https://github.com/4drian3d/VelocityPluginTemplate,User,0,2023-01-31 18:26:49,2025-09-21 01:50:53,1087,60,2,2,2,26,4,2,0.22031382527565735,0.1437426797878973,9,user|very_low,"age=1087d, stale=60d, commits12m=2, stars=2, forks=2",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; vuln_info_per_ncloc:0.35
best,https://github.com/Ducanh2005HUST/Face-Recognition-using-OpenCV-LBP-Features-,https://github.com/Ducanh2005HUST/Face-Recognition-using-OpenCV-LBP-Features-,User,0,2025-04-22 05:28:24,2025-04-28 10:56:52,276,206,3,0,8,351115,24,9,0.2576335877862596,0.11518167674845826,9,user|very_low,"age=276d, stale=206d, commits12m=8, stars=3, forks=0",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; vuln_info_per_ncloc:0.35
best,https://github.com/FabianoCarneiro/Devops-ON,https://github.com/FabianoCarneiro/Devops-ON,User,0,2023-03-25 20:01:46,2025-10-30 00:50:31,1034,21,3,73,65,388,14,30,0.2809584393553859,0.10920791220943057,9,user|very_low,"age=1034d, stale=21d, commits12m=65, stars=3, forks=73",vulnerabilities_per_ncloc:0.43; vuln_minor_per_ncloc:0.39; vuln_blocker_per_ncloc:0.37
best,https://github.com/franmatesic/java-processing-4-template,https://github.com/franmatesic/java-processing-4-template,User,0,2024-06-04 14:03:44,2025-11-04 13:29:38,597,16,4,0,1,31,2,4,0.22031382527565735,0.1437426797878973,9,user|low,"age=597d, stale=16d, commits12m=1, stars=4, forks=0",vulnerabilities_per_ncloc:0.43; vuln_blocker_per_ncloc:0.37; vuln_info_per_ncloc:0.35
