sample_group,repo_url,original_link_repository,owner_type,owner_is_org,created_at,updated_at,repo_age_days,staleness_days,stars,forks,commits_last_12m,ncloc,files,functions,composite_score,mixedness_score,n_metrics_used,strata,repo_context,top_worst_metrics
best,https://github.com/cometkim/turbocache,https://github.com/cometkim/turbocache,User,0,2021-12-24 18:12:37,2025-05-20 00:18:49,1490,184,67.0,7.0,0,62,1,5,0.2648327939590075,0.17211480637820345,9,user|mid,"age=1490d, stale=184d, commits12m=0, stars=67, forks=7",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/kwhitley/itty.dev,https://github.com/kwhitley/itty.dev,User,0,2023-03-09 21:03:13,2025-11-08 15:35:53,1050,12,76.0,21.0,40,0,0,0,0.2648327939590075,0.17211480637820345,9,user|mid,"age=1050d, stale=12d, commits12m=40, stars=76, forks=21",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/AkashRajpurohit/ts-npm-template,https://github.com/AkashRajpurohit/ts-npm-template,User,0,2023-05-14 09:50:48,2025-11-07 21:02:02,985,13,31.0,1.0,1,50,5,10,0.2648327939590075,0.17211480637820345,9,user|mid,"age=985d, stale=13d, commits12m=1, stars=31, forks=1",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/e2e-boilerplate/puppeteer-typescript-ts-jest-jest-expect,https://github.com/e2e-boilerplate/puppeteer-typescript-ts-jest-jest-expect,Organization,1,2019-10-26 18:11:02,2023-05-04 04:13:20,2280,931,8.0,0.0,0,39,3,6,0.2648327939590075,0.17211480637820345,9,org|low,"age=2280d, stale=931d, commits12m=0, stars=8, forks=0",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/grammyjs/plugin-template,https://github.com/grammyjs/plugin-template,Organization,1,2021-12-08 12:51:53,2024-08-15 21:09:55,1507,462,8.0,3.0,0,0,3,0,0.2648327939590075,0.17211480637820345,9,org|low,"age=1507d, stale=462d, commits12m=0, stars=8, forks=3",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/tfxhub/ts-fivem-template,https://github.com/tfxhub/ts-fivem-template,Organization,1,2024-03-08 09:00:34,2025-11-03 14:15:08,686,17,4.0,0.0,4,78,6,16,0.2648327939590075,0.17211480637820345,9,org|low,"age=686d, stale=17d, commits12m=4, stars=4, forks=0",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/kaypacha/next-typescript-template,https://github.com/kaypacha/next-typescript-template,Organization,1,2024-02-06 20:40:20,2024-02-21 20:56:57,716,638,3.0,0.0,0,477,27,22,0.2648327939590075,0.17211480637820345,9,org|very_low,"age=716d, stale=638d, commits12m=0, stars=3, forks=0",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/frutbits/template,https://github.com/frutbits/template,Organization,1,2022-04-10 04:48:52,2024-12-09 20:01:00,1384,346,3.0,0.0,1,2,1,1,0.2648327939590075,0.17211480637820345,9,org|very_low,"age=1384d, stale=346d, commits12m=1, stars=3, forks=0",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/BunnyWay/es-simple-middleware,https://github.com/BunnyWay/es-simple-middleware,Organization,1,2024-09-18 13:52:38,2025-05-30 17:43:14,491,174,2.0,3.0,2,32,3,5,0.2648327939590075,0.17211480637820345,9,org|very_low,"age=491d, stale=174d, commits12m=2, stars=2, forks=3",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/MersadHabibi/template-nextjs-daisyui-reactquery,https://github.com/MersadHabibi/template-nextjs-daisyui-reactquery,User,0,2024-11-09 09:58:32,2024-11-26 12:56:32,440,359,3.0,0.0,0,68,11,4,0.2648327939590075,0.17211480637820345,9,user|very_low,"age=440d, stale=359d, commits12m=0, stars=3, forks=0",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/8bitsats/Solibrary,https://github.com/8bitsats/Solibrary,User,0,2024-09-04 06:43:59,2025-01-21 12:37:28,506,303,3.0,3.0,0,0,0,0,0.2648327939590075,0.17211480637820345,9,user|very_low,"age=506d, stale=303d, commits12m=0, stars=3, forks=3",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/redking00/vscode-nbts-codespaces,https://github.com/redking00/vscode-nbts-codespaces,User,0,2024-11-14 16:32:35,2025-07-19 00:36:44,434,124,3.0,2.0,2,8,1,0,0.2648327939590075,0.17211480637820345,9,user|very_low,"age=434d, stale=124d, commits12m=2, stars=3, forks=2",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/Muhammad-Hasham-Khalid/react-typescript-tailwind-starter,https://github.com/Muhammad-Hasham-Khalid/react-typescript-tailwind-starter,User,0,2023-12-25 21:10:13,2025-09-05 20:54:49,759,76,6.0,0.0,7,125,9,4,0.2648327939590075,0.17211480637820345,9,user|low,"age=759d, stale=76d, commits12m=7, stars=6, forks=0",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/JaRoLoz/tstl-fivem-template,https://github.com/JaRoLoz/tstl-fivem-template,User,0,2024-08-06 23:21:14,2024-08-09 00:36:39,534,468,4.0,0.0,0,15,3,2,0.2648327939590075,0.17211480637820345,9,user|low,"age=534d, stale=468d, commits12m=0, stars=4, forks=0",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/gregrickaby/nextjs-github-pages,https://github.com/gregrickaby/nextjs-github-pages,User,0,2020-03-21 12:24:21,2025-11-03 13:44:04,2134,17,552.0,76.0,145,145,6,2,0.2648327939590075,0.17211480637820345,9,user|high,"age=2134d, stale=17d, commits12m=145, stars=552, forks=76",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/antfu/starter-vscode,https://github.com/antfu/starter-vscode,User,0,2022-03-23 00:06:41,2025-11-07 18:23:04,1402,13,488.0,78.0,6,53,7,5,0.2648327939590075,0.17211480637820345,9,user|high,"age=1402d, stale=13d, commits12m=6, stars=488, forks=78",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/nextjs/deploy-render,https://github.com/nextjs/deploy-render,Organization,1,2024-10-18 02:30:33,2025-10-17 04:08:17,462,34,89.0,13.0,0,26,3,2,0.2648327939590075,0.17211480637820345,9,org|mid,"age=462d, stale=34d, commits12m=0, stars=89, forks=13",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/clerk/clerk-react-demo,https://github.com/clerk/clerk-react-demo,Organization,1,2021-11-29 11:51:18,2025-07-04 11:03:43,1516,139,30.0,23.0,0,375,19,18,0.2648327939590075,0.17211480637820345,9,org|mid,"age=1516d, stale=139d, commits12m=0, stars=30, forks=23",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/filecoin-project/fevm-hardhat-kit,https://github.com/filecoin-project/fevm-hardhat-kit,Organization,1,2022-10-14 01:23:04,2025-09-20 16:44:09,1197,61,189.0,90.0,2,455,15,16,0.2808162531463502,0.1520344535721854,9,org|high,"age=1197d, stale=61d, commits12m=2, stars=189, forks=90",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
best,https://github.com/medusajs/medusa-starter-default,https://github.com/medusajs/medusa-starter-default,Organization,1,2021-08-11 15:16:45,2025-11-05 12:04:22,1625,15,179.0,309.0,59,962,9,14,0.28821467098166126,0.15097474344409562,9,org|high,"age=1625d, stale=15d, commits12m=59, stars=179, forks=309",vulnerabilities_per_ncloc:0.48; vuln_blocker_per_ncloc:0.47; vuln_info_per_ncloc:0.40
worst,https://github.com/wighawag/jolly-roger,https://github.com/wighawag/jolly-roger,User,0,2020-04-21 09:27:27,2025-08-27 13:20:42,2103,85,205.0,32.0,0,2680,53,206,0.905663430420712,0.13089104684850272,9,user|high,"age=2103d, stale=85d, commits12m=0, stars=205, forks=32",vuln_info_per_ncloc:0.99; vuln_blocker_per_ncloc:0.98; vulnerabilities_per_ncloc:0.98
worst,https://github.com/steve-lebleu/typeplate,https://github.com/steve-lebleu/typeplate,User,0,2019-08-25 12:07:35,2025-10-19 16:57:44,2343,32,336.0,46.0,7,5925,154,883,0.8612909025530384,0.18915460990942298,9,user|high,"age=2343d, stale=32d, commits12m=7, stars=336, forks=46",vuln_critical_per_ncloc:0.98; vuln_blocker_per_ncloc:0.97; vulnerabilities_per_ncloc:0.97
worst,https://github.com/atorber/chatflow,https://github.com/atorber/chatflow,User,0,2022-05-04 08:38:28,2025-10-15 00:31:40,1360,36,422.0,78.0,1,14196,165,880,0.8484537935994247,0.12968670458806242,9,user|high,"age=1360d, stale=36d, commits12m=1, stars=422, forks=78",vulnerabilities_per_ncloc:0.97; vuln_blocker_per_ncloc:0.96; vuln_minor_per_ncloc:0.93
worst,https://github.com/delaurentis/planner,https://github.com/delaurentis/planner,User,0,2021-10-28 18:10:31,2025-09-05 18:09:02,1547,76,3.0,1.0,6,8924,187,661,0.8941927364257461,0.06879327828218562,9,user|very_low,"age=1547d, stale=76d, commits12m=6, stars=3, forks=1",vulnerabilities_per_ncloc:0.98; vuln_blocker_per_ncloc:0.97; bugs_per_ncloc:0.93
worst,https://github.com/pefish/create-react-dapp-template,https://github.com/pefish/create-react-dapp-template,User,0,2020-09-30 08:12:51,2022-05-28 03:41:06,1941,1272,2.0,0.0,0,915,27,77,0.8739661992089176,0.1860699383288015,9,user|very_low,"age=1941d, stale=1272d, commits12m=0, stars=2, forks=0",vulnerabilities_per_ncloc:0.99; vuln_blocker_per_ncloc:0.98; vuln_critical_per_ncloc:0.98
