metric,predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_bonf,spearman_p_bonf,pearson_p_fdr,spearman_p_fdr,pearson_sig_bonf,spearman_sig_bonf,pearson_sig_fdr,spearman_sig_fdr,spearman_effect_bin
bugs_per_kloc,staleness_days,3698,-0.012706942469101352,0.43982180800344667,-0.027117565476381326,0.0991892442438556,1.0,1.0,0.6661219563320385,0.13733895356841544,False,False,False,False,negligible
bugs_per_kloc,commits_last_12m,3698,0.0007422996490861804,0.964007781810436,0.045837012441097356,0.005304667152988013,1.0,0.2864520262613527,0.9750465461887097,0.010609334305976026,False,False,False,True,negligible
bugs_per_kloc,repo_age_days,3698,-0.021109583267551052,0.1993492604592419,-0.0006323993896902516,0.9693337136829107,1.0,1.0,0.6320129395999536,0.9693337136829107,False,False,False,False,negligible
bugs_per_kloc,log_stars,3698,0.018520775093604853,0.2601714216619233,0.03634347741499997,0.027100111552038453,1.0,1.0,0.6320129395999536,0.04304135364147284,False,False,False,True,negligible
bugs_per_kloc,log_forks,3698,0.04870776144344106,0.003049202156070409,0.051552741334962196,0.0017126415885468057,0.16465691642780209,0.09248264578152751,0.05068815793404281,0.003853443574230313,False,False,False,True,negligible
bugs_per_kloc,owner_is_org,3698,-0.011589450685854385,0.4810880795731389,-0.07970668160558432,1.2152082507111315e-06,1.0,6.56212455384011e-05,0.6661219563320385,1.6405311384600277e-05,False,True,False,True,negligible
code_smells_per_kloc,staleness_days,3698,-0.017598205198805488,0.284669396654938,-0.007036921975451741,0.668808257333039,1.0,1.0,0.6320129395999536,0.7370539978772266,False,False,False,False,negligible
code_smells_per_kloc,commits_last_12m,3698,0.0021571892347713824,0.8956669056717258,-0.027784673071128547,0.09114782744019145,1.0,1.0,0.9483531942406509,0.1330265589667659,False,False,False,False,negligible
code_smells_per_kloc,repo_age_days,3698,-0.01689696681263929,0.30430252647405176,0.04426812922262364,0.007093830346772881,1.0,0.38306683872573555,0.6320129395999536,0.012356994797604373,False,False,False,True,negligible
code_smells_per_kloc,log_stars,3698,0.0179223006555717,0.2758914290535784,0.05908017491219955,0.0003248145292979579,1.0,0.017539984582089725,0.6320129395999536,0.0010236670665966468,False,True,False,True,negligible
code_smells_per_kloc,log_forks,3698,0.04739827538803509,0.003939185804084228,0.06798839846780033,3.505823127447367e-05,0.2127160334205483,0.001893144488821578,0.05068815793404281,0.0001721040444383253,False,True,False,True,negligible
code_smells_per_kloc,owner_is_org,3698,-0.013385475886262639,0.4157893920227959,0.0034113544446915086,0.8357139046310063,1.0,1.0,0.6661219563320385,0.8678567471168143,False,False,False,False,negligible
vulnerabilities_per_kloc,staleness_days,3698,-0.014972274594572439,0.36270389439223394,-0.03985277070314876,0.015365929960675895,1.0,0.8297602178764983,0.6661219563320385,0.025144249026560553,False,False,False,True,negligible
vulnerabilities_per_kloc,commits_last_12m,3698,-0.0010442882547748219,0.9493819337692483,0.05275900285994183,0.0013297159073142118,1.0,0.07180465899496744,0.9750465461887097,0.0031219416954333667,False,False,False,True,negligible
vulnerabilities_per_kloc,repo_age_days,3698,-0.014970446365519622,0.3627625073613644,-0.04437498225506857,0.0069566503483369764,1.0,0.3756591188101967,0.6661219563320385,0.012356994797604373,False,False,False,True,negligible
vulnerabilities_per_kloc,log_stars,3698,-0.003555743784656764,0.8288657063889354,0.021073614204922073,0.20011624953607265,1.0,1.0,0.9483531942406509,0.2701569368736981,False,False,False,False,negligible
vulnerabilities_per_kloc,log_forks,3698,-0.00256040263611109,0.8763099116502684,0.07623840460045772,3.461636138327717e-06,1.0,0.0001869283514696967,0.9483531942406509,2.6704050209956676e-05,False,True,False,True,negligible
vulnerabilities_per_kloc,owner_is_org,3698,-0.01289605108465419,0.4330450403240193,-0.045106891514793294,0.006079314802378734,1.0,0.3282829993284517,0.6661219563320385,0.011724392833158988,False,False,False,True,negligible
security_hotspots_per_kloc,staleness_days,3698,-0.029770910565111858,0.07026579200927764,-0.09468651970452868,7.973501408941428e-09,1.0,4.305690760828371e-07,0.29187328988469174,2.1528453804141856e-07,False,True,False,True,negligible
security_hotspots_per_kloc,commits_last_12m,3698,0.0054003698719129155,0.7426891905554721,0.07035979802722657,1.8478517824647455e-05,1.0,0.0009978399625309626,0.8912270286665664,0.00011087110694788473,False,True,False,True,negligible
security_hotspots_per_kloc,repo_age_days,3698,0.009871865043976647,0.54841862517373,-0.07813231193582548,1.9650565235489853e-06,1.0,0.0001061130522716452,0.7051096609376528,1.768550871194087e-05,False,True,False,True,negligible
security_hotspots_per_kloc,log_stars,3698,0.043779402535278,0.007752713142390347,0.01828348261822919,0.266328569259002,0.41864650968907874,1.0,0.05233081371113485,0.34242244619014545,False,False,False,False,negligible
security_hotspots_per_kloc,log_forks,3698,0.07443061226878811,5.871375060590977e-06,0.0787479216452118,1.6301431131753181e-06,0.00031705425327191276,8.802772811146717e-05,0.0003170542532719128,1.7605545622293435e-05,True,True,True,True,negligible
security_hotspots_per_kloc,owner_is_org,3698,-0.014572224250243996,0.3756705282533141,-0.0689328018234823,2.7231950258541018e-05,1.0,0.001470525313961215,0.6661219563320385,0.0001470525313961215,False,True,False,True,negligible
vuln_blocker_per_kloc,staleness_days,3698,-0.010200509292151109,0.5351844063266749,-0.06701688001523029,4.531090792641384e-05,1.0,0.0024467890280263473,0.70487702296684,0.00018821454061741135,False,True,False,True,negligible
vuln_blocker_per_kloc,commits_last_12m,3698,0.046962720095020706,0.004283816740198991,0.06394938753176245,9.962365551915353e-05,0.23132610397074552,0.005379677398034291,0.05068815793404281,0.00038426267128816363,False,True,False,True,negligible
vuln_blocker_per_kloc,repo_age_days,3698,0.03472857797443868,0.03470284078988906,0.011017860942882436,0.5029833958604953,1.0,1.0,0.17035940024127358,0.5904587690536249,False,False,False,False,negligible
vuln_blocker_per_kloc,log_stars,3698,0.0062312139754353785,0.7048341100725636,0.011249518535265686,0.494046589463535,1.0,1.0,0.8650236805436008,0.5904587690536249,False,False,False,False,negligible
vuln_blocker_per_kloc,log_forks,3698,0.011785019350926872,0.4737175031948906,0.0589401932291719,0.00033562311592171424,1.0,0.01812364825977257,0.6661219563320385,0.0010236670665966468,False,True,False,True,negligible
vuln_blocker_per_kloc,owner_is_org,3698,-0.029128101269176466,0.07654553071327799,-0.0547386350177019,0.0008681712087499262,1.0,0.046881245272496014,0.29524704703692944,0.0021309656942043644,False,True,False,True,negligible
vuln_critical_per_kloc,staleness_days,3698,-0.042863337502352925,0.009136947780987285,-0.08238946000453601,5.24742512397062e-07,0.49339518017331335,2.833609566944135e-05,0.05482168668592371,9.445365223147117e-06,False,True,False,True,negligible
vuln_critical_per_kloc,commits_last_12m,3698,-0.003296087504402608,0.841189842141093,0.07224096410735492,1.095960354001038e-05,1.0,0.0005918185911605605,0.9483531942406509,7.397732389507007e-05,False,True,False,True,negligible
vuln_critical_per_kloc,repo_age_days,3698,0.036911939708653745,0.024789661071331758,-0.004096458366528823,0.8033396584724946,1.0,1.0,0.1338641697851915,0.8505949325002884,False,False,False,False,negligible
vuln_critical_per_kloc,log_stars,3698,0.014829674196480118,0.36729344925901886,0.05886932741688948,0.0003412223555322156,1.0,0.018426007198739644,0.6661219563320385,0.0010236670665966468,False,True,False,True,negligible
vuln_critical_per_kloc,log_forks,3698,0.03356173015639935,0.041269375445294916,0.09988675314887607,1.1475403211463802e-09,1.0,6.196717734190453e-08,0.18571218950382712,6.196717734190454e-08,False,True,False,True,negligible
vuln_critical_per_kloc,owner_is_org,3698,-0.017155420598357625,0.29696428108250167,-0.04430514373898304,0.007046037971312243,1.0,0.38048605045086115,0.6320129395999536,0.012356994797604373,False,False,False,True,negligible
vuln_major_per_kloc,staleness_days,3698,-0.017233715646486306,0.29476480048748743,-0.01277866363324763,0.4372445241169037,1.0,1.0,0.6320129395999536,0.5366182795980182,False,False,False,False,negligible
vuln_major_per_kloc,commits_last_12m,3698,0.0005145466851886382,0.9750465461887097,-0.002007318814863411,0.9028781995360065,1.0,1.0,0.9750465461887097,0.9199136372631009,False,False,False,False,negligible
vuln_major_per_kloc,repo_age_days,3698,-0.020603600987338665,0.21033721299519445,-0.007198034183133553,0.6616917422466345,1.0,1.0,0.6320129395999536,0.7370539978772266,False,False,False,False,negligible
vuln_major_per_kloc,log_stars,3698,0.017767019288400562,0.2800738530388414,0.027313787663852424,0.09676727753884432,1.0,1.0,0.6320129395999536,0.13733895356841544,False,False,False,False,negligible
vuln_major_per_kloc,log_forks,3698,0.04501341489601762,0.0061855197832404105,0.05516177457077633,0.0007911463690572851,0.33401806829498215,0.0427219039290934,0.05233081371113485,0.0021309656942043644,False,True,False,True,negligible
vuln_major_per_kloc,owner_is_org,3698,-0.014102903171807863,0.39124213183802925,-0.030214977080781302,0.0661793772347621,1.0,1.0,0.6661219563320385,0.09926906585214315,False,False,False,False,negligible
vuln_minor_per_kloc,staleness_days,3698,-0.012032140182365945,0.46449347034698835,-0.01775462665046587,0.2804094881512204,1.0,1.0,0.6661219563320385,0.3521421479108349,False,False,False,False,negligible
vuln_minor_per_kloc,commits_last_12m,3698,0.0022989791244433402,0.8888523352838112,0.008041566127139682,0.6249410067822659,1.0,1.0,0.9483531942406509,0.7180173269413268,False,False,False,False,negligible
vuln_minor_per_kloc,repo_age_days,3698,-0.01995644609330325,0.22502063143816514,0.035653319617021874,0.030152841344704858,1.0,1.0,0.6320129395999536,0.046521526646116064,False,False,False,True,negligible
vuln_minor_per_kloc,log_stars,3698,0.01703287689079984,0.30042877406048535,0.06709110734887642,4.44367440757696e-05,1.0,0.002399584180091558,0.6320129395999536,0.00018821454061741135,False,True,False,True,negligible
vuln_minor_per_kloc,log_forks,3698,0.046484668090225216,0.0046933479568558156,0.057469221332240125,0.00047144040779591374,0.25344078967021405,0.02545778202097934,0.05068815793404281,0.0013398832642620706,False,True,False,True,negligible
vuln_minor_per_kloc,owner_is_org,3698,-0.010754515954096402,0.5132454043551659,-0.004831071355564888,0.7689981904818659,1.0,1.0,0.6928812958794739,0.8305180457204152,False,False,False,False,negligible
vuln_info_per_kloc,staleness_days,3698,0.0066680351156197856,0.6852139927140715,-0.04727679078579221,0.004032686504320659,1.0,0.21776507123331557,0.8605012931758107,0.00837557966281983,False,False,False,True,negligible
vuln_info_per_kloc,commits_last_12m,3698,-0.002445776039252992,0.8818057684333992,0.04889725221055446,0.002936830761515418,1.0,0.15858886112183257,0.9483531942406509,0.006343554444873303,False,False,False,True,negligible
