language,outcome,predictor,p_raw,p_adj_bh_by_language,sig_raw,sig_bh_by_language,IRR,IRR_CI_low,IRR_CI_high,n
C#,bugs,commits_last_12m,0.16921726564609307,0.30459107816296754,False,False,1.0221476939842553,0.9907176313811955,1.0545748609124446,215
C#,bugs,log_forks,0.26882662361962417,0.3974814935341899,False,False,0.6739607741001032,0.33488154110834145,1.3563695494301948,215
C#,bugs,log_stars,0.09456101593165998,0.22201282001346256,False,False,1.7011802807299314,0.9124905967122243,3.171555255442336,215
C#,bugs,owner_is_org,0.0038263487478691965,0.03331929713570721,True,True,0.23538310864137668,0.08831511591697833,0.6273581510753207,215
C#,bugs,repo_age_days,0.0032706031624549865,0.03331929713570721,True,True,1.0009326723922343,1.0003110358520855,1.0015546952442143,215
C#,bugs,staleness_days,0.4199861924596433,0.527948181528432,False,False,0.9993006468922763,0.9976029949550858,1.001001187776387,215
C#,code_smells,commits_last_12m,0.08244636865894096,0.21349138483674468,False,False,1.009329767815054,0.9988066583804854,1.0199637453853547,215
C#,code_smells,log_forks,0.39994693820039573,0.5267593820200334,False,False,0.836901898896225,0.5528657081790128,1.2668624188739204,215
C#,code_smells,log_stars,0.0043191681472213046,0.03331929713570721,True,True,1.7512549215913535,1.1918529856790165,2.573214848852086,215
C#,code_smells,owner_is_org,0.12928323217519108,0.25856646435038216,False,False,0.597926462752113,0.3076551815514267,1.1620673932952847,215
C#,code_smells,repo_age_days,0.04053224362874625,0.13261995458213002,True,False,1.000543880536351,1.0000234453343557,1.0010645865847956,215
C#,code_smells,staleness_days,0.9987407896734861,0.9987407896734861,False,False,0.9999990291966073,0.9987941070328991,1.0012054049506105,215
C#,security_hotspots,commits_last_12m,6.615588601354102e-05,0.0011908059482437386,True,True,1.0063514922082288,1.0032262612802494,1.0094864587947834,215
C#,security_hotspots,log_forks,0.3200327351618777,0.4470299036207493,False,False,0.8903477696815014,0.7081753016018059,1.1193826573502212,215
C#,security_hotspots,log_stars,5.609137659236174e-05,0.0011908059482437386,True,True,1.6353843475574887,1.2873396427760642,2.0775262994843273,215
C#,security_hotspots,owner_is_org,0.014867367827175404,0.06690315522228932,True,False,0.6044162360978752,0.4030635842606914,0.9063557233253879,215
C#,security_hotspots,repo_age_days,0.19755710880152155,0.33337762110256763,False,False,1.0001912973223945,0.9999003351575935,1.0004823441546153,215
C#,security_hotspots,staleness_days,0.08176904613887022,0.21349138483674468,False,False,1.0006480146530492,0.9999183253045302,1.0013782364916044,215
C#,vuln_blocker,commits_last_12m,0.025415732265883076,0.09803211016840616,True,False,1.004558245000597,1.0005598573789367,1.0085726107803408,215
C#,vuln_blocker,log_forks,0.42040318158745515,0.527948181528432,False,False,0.8459496462521167,0.5631264882157063,1.2708171591458828,215
C#,vuln_blocker,log_stars,0.01766777681177722,0.07338922675661308,True,False,1.6303964883219972,1.088716125673792,2.441584768010651,215
C#,vuln_blocker,owner_is_org,0.4914315360240231,0.5897178432288277,False,False,0.7960405058286396,0.41565653103810446,1.5245291234503064,215
C#,vuln_blocker,repo_age_days,0.5945101574427121,0.6830542234448181,False,False,1.000121109933274,0.9996752572845542,1.000567161431153,215
C#,vuln_blocker,staleness_days,0.2723484307549079,0.3974814935341899,False,False,1.000566433627057,0.9995552533884549,1.0015786368060833,215
C#,vuln_critical,commits_last_12m,0.10115560321070202,0.22760010722407956,False,False,1.0067216028725285,0.9986903298289126,1.0148174618491153,215
C#,vuln_critical,log_forks,0.17957569734769674,0.3128092792508266,False,False,0.6954140767323852,0.40912309873630065,1.1820421276904227,215
C#,vuln_critical,log_stars,0.0011760149928643079,0.015876202403668157,True,True,2.1590459517361027,1.3562714148130954,3.436981249324967,215
C#,vuln_critical,owner_is_org,0.2349607034287433,0.3731728819162394,False,False,0.5749559446194502,0.2306595815519959,1.433169764849874,215
C#,vuln_critical,repo_age_days,0.1286421871820236,0.25856646435038216,False,False,1.000379833680603,0.9998899158980958,1.000869991508969,215
C#,vuln_critical,staleness_days,0.8665595735800806,0.8998887879485453,False,False,1.0001092143465362,0.9988360403984878,1.0013840111554309,215
C#,vuln_info,commits_last_12m,0.009401012860262287,0.056406077161573726,True,False,1.0069294793153172,1.0016955864403057,1.012190719455304,215
C#,vuln_info,log_forks,0.7267150073689905,0.800869599957663,False,False,1.056746622533516,0.7754323278501896,1.4401171889905242,215
C#,vuln_info,log_stars,0.06526493838422441,0.19579481515267325,False,False,1.3199518317823953,0.9826060768304374,1.7731142512833802,215
C#,vuln_info,owner_is_org,0.8228498949357745,0.8712528299319966,False,False,0.9360008758522083,0.5245833768915076,1.6700827326773877,215
C#,vuln_info,repo_age_days,0.4329184991400592,0.5313090671264363,False,False,0.9998640777662187,0.9995244490199517,1.0002038219150506,215
C#,vuln_info,staleness_days,0.16664930911589726,0.30459107816296754,False,False,0.999331327698864,0.9983844972094782,1.0002790561268478,215
C#,vuln_major,commits_last_12m,0.08697797160015523,0.21349138483674468,False,False,1.0088293249104539,0.9987250043684204,1.0190358730858895,215
