language,outcome,predictor,n,coef,IRR,IRR_CI_low,IRR_CI_high,p_raw,p_adj_bh_by_language,p_adj_bonf_by_language,sig_raw,sig_bh_by_language,sig_bonf_by_language,p_adj_bh_global,p_adj_bonf_global,sig_bh_global,sig_bonf_global,used_regularized
C#,bugs,commits_last_12m,215,0.021906734227827518,1.022148448560389,0.9907184619112882,1.0545755338795362,0.1692015316116805,0.3045627569010249,1.0,False,False,False,0.2976822003996464,1.0,False,False,False
C#,bugs,log_forks,215,-0.3946166948081175,0.6739383138014056,0.3348594006876636,1.3563688218898926,0.26880863586950376,0.39757237108926274,1.0,False,False,False,0.40098525792688405,1.0,False,False,False
C#,bugs,log_stars,215,0.5313575181165019,1.7012402061581444,0.9124909943638714,3.171777318270044,0.09455757124569195,0.22200473248988545,1.0,False,False,False,0.19341321391164262,1.0,False,False,False
C#,bugs,owner_is_org,215,-1.4465914710398022,0.23537119189044703,0.08830885669170724,0.6273390919931593,0.0038258435017841682,0.03334842728329369,0.2065955490963451,True,True,False,0.016660931378737507,1.0,True,False,False
C#,bugs,repo_age_days,215,0.000932099711906444,1.000932534251844,1.000311041913965,1.0015544127223457,0.0032679991994792774,0.03334842728329369,0.176471956771881,True,True,False,0.014705996397656749,0.882359783859405,True,False,False
C#,bugs,staleness_days,215,-0.0006997432053590746,0.9993005015578239,0.9976029321467623,1.0010009596351197,0.4198670178799545,0.5278355726300514,1.0,False,False,False,0.5590376754456209,1.0,False,False,False
C#,code_smells,commits_last_12m,215,0.009286647767760267,1.0093299024745315,0.9988074362289163,1.0199632232170937,0.08242307664352012,0.2134549310879723,1.0,False,False,False,0.17535126521597738,1.0,False,False,False
C#,code_smells,log_forks,215,-0.17807284321741107,0.8368814601302639,0.5528570705289808,1.2668203332185637,0.3998722986040877,0.5266610762102618,1.0,False,False,False,0.542540304638712,1.0,False,False,False
C#,code_smells,log_stars,215,0.5602798629817344,1.7511625172876841,1.191788667312986,2.57308216302077,0.004322944277463996,0.03334842728329369,0.23343899098305576,True,True,False,0.01795684546023506,1.0,True,False,False
C#,code_smells,owner_is_org,215,-0.5144081757044143,0.5978543146464883,0.3076246436518783,1.1619023017736696,0.12918104831266908,0.25836209662533816,1.0,False,False,False,0.24054402099600447,1.0,False,False,False
