sample_group,repo_url,original_link_repository,owner_type,owner_is_org,created_at,updated_at,repo_age_days,staleness_days,stars,forks,commits_last_12m,ncloc,files,functions,composite_score,mixedness_score,n_metrics_used,strata,repo_context,top_worst_metrics
best,https://github.com/ssciwr/python-project-template,https://github.com/ssciwr/python-project-template,Organization,1,2020-11-30 09:31:43,2025-10-27 09:03:15,1880,25,24,2,24,104,4,8,0.2714210038405509,0.13019448383037793,9,org|mid,"age=1880d, stale=25d, commits12m=24, stars=24, forks=2",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/open2c/quaich,https://github.com/open2c/quaich,Organization,1,2020-06-15 22:42:37,2024-10-31 16:36:12,2047,386,22,6,0,27,3,0,0.2714210038405509,0.13019448383037793,9,org|mid,"age=2047d, stale=386d, commits12m=0, stars=22, forks=6",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/pulumi/pulumi-component-provider-py-boilerplate,https://github.com/pulumi/pulumi-component-provider-py-boilerplate,Organization,1,2021-04-16 20:13:01,2025-10-06 12:47:24,1742,46,23,11,1,81,3,3,0.2714210038405509,0.13019448383037793,9,org|mid,"age=1742d, stale=46d, commits12m=1, stars=23, forks=11",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/gpauloski/python-template,https://github.com/gpauloski/python-template,User,0,2022-04-07 14:41:16,2025-11-07 16:27:36,1386,14,18,2,106,99,9,4,0.2714210038405509,0.13019448383037793,9,user|low,"age=1386d, stale=14d, commits12m=106, stars=18, forks=2",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/bbnf-in/IRSTD-YOLO,https://github.com/bbnf-in/IRSTD-YOLO,User,0,2025-01-02 16:31:56,2025-08-17 20:39:52,385,94,4,1,4,14,2,0,0.2714210038405509,0.13019448383037793,9,user|low,"age=385d, stale=94d, commits12m=4, stars=4, forks=1",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/alexdlaird/pyngrok-example-fastapi,https://github.com/alexdlaird/pyngrok-example-fastapi,User,0,2023-11-30 19:08:15,2025-11-03 11:08:11,784,17,4,0,52,56,5,5,0.2714210038405509,0.13019448383037793,9,user|low,"age=784d, stale=17d, commits12m=52, stars=4, forks=0",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/aissah/cwp_coding_resources,https://github.com/aissah/cwp_coding_resources,User,0,2024-09-30 18:30:24,2025-03-31 17:45:13,479,234,2,1,13,12,5,2,0.2714210038405509,0.13019448383037793,9,user|very_low,"age=479d, stale=234d, commits12m=13, stars=2, forks=1",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/ZaneH/dataset-tools,https://github.com/ZaneH/dataset-tools,User,0,2024-05-21 07:37:31,2025-04-11 03:50:45,612,223,2,0,0,63,2,4,0.2714210038405509,0.13019448383037793,9,user|very_low,"age=612d, stale=223d, commits12m=0, stars=2, forks=0",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/WanetsCode/Are-you-smarter-than-AI-,https://github.com/WanetsCode/Are-you-smarter-than-AI-,User,0,2024-07-13 10:26:55,2024-08-31 17:19:17,559,446,2,0,0,0,1,0,0.2714210038405509,0.13019448383037793,9,user|very_low,"age=559d, stale=446d, commits12m=0, stars=2, forks=0",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
best,https://github.com/PrefectHQ/fastmcp-quickstart-template,https://github.com/PrefectHQ/fastmcp-quickstart-template,Organization,1,2025-08-11 16:48:59,2025-11-07 11:18:50,164,13,4,1,2,14,1,4,0.2714210038405509,0.13019448383037793,9,org|low,"age=164d, stale=13d, commits12m=2, stars=4, forks=1",vulnerabilities_per_ncloc:0.44; vuln_info_per_ncloc:0.42; vuln_blocker_per_ncloc:0.40
