sample_group,repo_url,original_link_repository,owner_type,owner_is_org,created_at,updated_at,repo_age_days,staleness_days,stars,forks,commits_last_12m,ncloc,files,functions,composite_score,mixedness_score,n_metrics_used,strata,repo_context,top_worst_metrics
worst,https://github.com/night-moon-studio/Template,https://github.com/night-moon-studio/Template,Organization,1,2023-04-26 06:16:17,2025-09-29 02:42:33,1003,52,36,26,0,2818,39,419,0.5891472868217055,0.23444582713844248,9,org|mid,"age=1003d, stale=52d, commits12m=0, stars=36, forks=26",vuln_minor_per_ncloc:0.90; vuln_critical_per_ncloc:0.88; bugs_per_ncloc:0.77
worst,https://github.com/Azaferany/dotnet-quickstart-template,https://github.com/Azaferany/dotnet-quickstart-template,User,0,2022-07-26 20:17:08,2025-11-08 21:02:53,1276,11,5,0,52,1324,11,7,0.8074935400516796,0.3097430366498652,9,user|low,"age=1276d, stale=11d, commits12m=52, stars=5, forks=0",bugs_per_ncloc:1.00; vuln_critical_per_ncloc:1.00; vuln_minor_per_ncloc:1.00
worst,https://github.com/8bitflynn/VDRIVE,https://github.com/8bitflynn/VDRIVE,User,0,2025-10-07 14:45:46,2025-11-05 02:02:33,107,15,11,1,177,4014,75,239,0.772093023255814,0.1496344924850736,9,user|low,"age=107d, stale=15d, commits12m=177, stars=11, forks=1",vuln_info_per_ncloc:0.90; vuln_blocker_per_ncloc:0.89; code_smells_per_ncloc:0.88
worst,https://github.com/tooniez/Aspcore.ReactTemplate,https://github.com/tooniez/Aspcore.ReactTemplate,User,0,2024-08-20 23:39:07,2025-10-25 08:30:28,520,26,7,2,16,1706,47,153,0.7390180878552972,0.1966656124980532,9,user|low,"age=520d, stale=26d, commits12m=16, stars=7, forks=2",vulnerabilities_per_ncloc:0.93; bugs_per_ncloc:0.87; vuln_minor_per_ncloc:0.87
worst,https://github.com/ajaykumar3531/HealthHub_WebAPI_Using_Asp.Net_Core,https://github.com/ajaykumar3531/HealthHub_WebAPI_Using_Asp.Net_Core,User,0,2024-02-14 14:20:39,2024-04-15 18:10:17,708,584,3,0,0,2102,45,418,0.7901808785529716,0.15739297864447108,9,user|very_low,"age=708d, stale=584d, commits12m=0, stars=3, forks=0",vulnerabilities_per_ncloc:0.97; vuln_blocker_per_ncloc:0.95; vuln_major_per_ncloc:0.94
worst,https://github.com/dbahadori/CleanArchitectureTemplate,https://github.com/dbahadori/CleanArchitectureTemplate,User,0,2023-11-12 10:07:43,2024-12-08 08:17:51,803,347,2,1,0,30,2,2,0.7806201550387597,0.3047887138437598,9,user|very_low,"age=803d, stale=347d, commits12m=0, stars=2, forks=1",vuln_major_per_ncloc:0.99; vuln_critical_per_ncloc:0.99; vuln_minor_per_ncloc:0.99
worst,https://github.com/fatea-k/GameServer,https://github.com/fatea-k/GameServer,User,0,2024-03-12 18:13:04,2024-05-06 15:44:44,681,563,2,0,0,1665,31,193,0.7669250645994832,0.15507363948731687,9,user|very_low,"age=681d, stale=563d, commits12m=0, stars=2, forks=0",bugs_per_ncloc:0.93; vuln_blocker_per_ncloc:0.92; vuln_major_per_ncloc:0.88
worst,https://github.com/intersystems-community/native-api-contest-template,https://github.com/intersystems-community/native-api-contest-template,Organization,1,2020-05-07 13:03:19,2021-11-25 14:10:07,2086,1456,2,1,0,196,6,4,0.7708010335917314,0.2890771367821323,9,org|very_low,"age=2086d, stale=1456d, commits12m=0, stars=2, forks=1",security_hotspots_per_ncloc:0.98; vuln_blocker_per_ncloc:0.98; vuln_minor_per_ncloc:0.96
worst,https://github.com/KvalitetsIT/kitnugs,https://github.com/KvalitetsIT/kitnugs,Organization,1,2023-05-17 19:44:00,2025-01-06 14:01:35,981,318,3,2,14,29,5,0,0.6276485788113697,0.4244161268555331,9,org|very_low,"age=981d, stale=318d, commits12m=14, stars=3, forks=2",vulnerabilities_per_ncloc:1.00; vuln_blocker_per_ncloc:1.00; security_hotspots_per_ncloc:0.99
worst,https://github.com/microsoft/franceconnect-identity-provider-dotnet-webapi-aspnetcore,https://github.com/microsoft/franceconnect-identity-provider-dotnet-webapi-aspnetcore,Organization,1,2016-06-22 09:41:07,2025-04-25 13:21:58,3502,209,3,1,2,4262,113,384,0.6222222222222222,0.19397046629413284,9,org|very_low,"age=3502d, stale=209d, commits12m=2, stars=3, forks=1",vuln_blocker_per_ncloc:0.91; vuln_critical_per_ncloc:0.86; bugs_per_ncloc:0.84
